Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007588~excretion	12	0.02094642950653703	4.1100100409320657E-10	CLDN16, AVPR2, NPHS1, AQP5, CLCNKA, CLCNKB, AQP6, SCNN1G, SCNN1B, ATP6V1B1, ATP6V0A4, AQP2	387	37	16792	14.07249109574691	7.060994877683413E-7	7.060994877683413E-7	6.94098589715253E-7
GOTERM_BP_DIRECT	GO:0034220~ion transmembrane transport	24	0.04189285901307406	6.025196031915089E-10	CLCA2, SLC12A1, FXYD4, GABRB2, GABRA3, GABRA5, AQP5, CLCNKA, CLCNKB, ATP6V1B1, AQP2, BSND, ATP6V1C2, ATP2B3, GRIA2, SLC24A2, RYR2, SCNN1G, ATP6V1G3, SCNN1B, HTR3A, ATP6V0A4, HTR3B, ATP6V0D2	387	210	16792	4.958877814691768	1.0351281197751305E-6	5.175641938359732E-7	1.0175352116448266E-6
GOTERM_BP_DIRECT	GO:0006953~acute-phase response	12	0.02094642950653703	7.731053266964117E-10	MBL2, SAA2-SAA4, SAA2, SAA1, HAMP, F2, CRP, ITIH4, SERPINA3, SAA4, HP, LBP	387	39	16792	13.350824885708606	1.3281941226850336E-6	4.4273157018270837E-7	1.3056204895001144E-6
GOTERM_BP_DIRECT	GO:0006811~ion transport	15	0.02618303688317129	1.3370452682690725E-6	CLDN16, SLC36A2, SLC12A1, TMC3, SLC9A4, GABRB2, TMC5, SLC9A2, SLC17A8, SLCO1A2, SLC26A7, SLC24A2, CHRNB4, HTR3A, HTR3B	387	127	16792	5.124824513214918	0.0022944091168295433	5.74096470155494E-4	0.002257978355868495
GOTERM_BP_DIRECT	GO:0044267~cellular protein metabolic process	12	0.02094642950653703	8.708057055138336E-5	CALCA, ODAM, TTR, FGA, SAA1, F2, PAPPA2, IGFBP1, MMP13, SFTPB, MMP1, SLC34A2	387	118	16792	4.412560767310471	0.13895708656163464	0.02947895011959001	0.14695999779446023
GOTERM_BP_DIRECT	GO:0006814~sodium ion transport	10	0.017455357922114192	9.890806002110787E-5	SLC17A8, SLC12A1, SLC4A11, SCN2A, SLC13A2, SLC13A3, SCNN1G, SCN7A, SLC5A7, SCNN1B	387	81	16792	5.356812454142342	0.15627819284792777	0.027924764931468116	0.16690477316747554
GOTERM_BP_DIRECT	GO:0010951~negative regulation of endopeptidase activity	12	0.02094642950653703	1.0928806874480207E-4	WFDC12, COL7A1, ITIH1, PI3, ITIH4, SERPINA3, SERPINC1, SLPI, HRG, ITIH2, VTN, ITIH3	387	121	16792	4.303158434236658	0.17119233784847565	0.02646731536489122	0.1844055639738995
GOTERM_BP_DIRECT	GO:0035725~sodium ion transmembrane transport	9	0.015709822129902774	2.6460714043968693E-4	HCN2, SLC4A11, SLC24A2, SCN2A, SCNN1G, SCN7A, SLC4A9, SCNN1B, SLC34A2	387	73	16792	5.349474354890092	0.3653332509146565	0.05524713367342937	0.44593049312724453
GOTERM_BP_DIRECT	GO:0042572~retinol metabolic process	6	0.010473214753268515	5.548863307976802E-4	RDH8, ALDH1A2, TTR, ADH4, ALDH1A3, SDR16C5	387	30	16792	8.678036175710593	0.6146330567653306	0.10053130894830309	0.9329727900166507
GOTERM_BP_DIRECT	GO:0033572~transferrin transport	6	0.010473214753268515	0.0011505301485217315	TF, ATP6V1C2, ATP6V1G3, ATP6V1B1, ATP6V0A4, ATP6V0D2	387	35	16792	7.438316722037653	0.8616195832427488	0.17944543975313065	1.9253577594744442
