"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "regulation"
"1" "ABCA13" "38.395549881539" "-2.22394722020062" "0.574575664387627" "-3.87059069508428" "0.000108571953990673" "0.00956903890909035"
"2" "ACPP" "218.770329621794" "-2.17483047184889" "0.507959664018834" "-4.28150230402597" "1.85635801130974e-05" "0.00311108726713591"
"3" "ADAM7" "20.4311983617412" "-2.83438784245293" "0.694040423877256" "-4.08389446052526" "4.42871510231912e-05" "0.00538307887326943"
"4" "ADGRF1" "644.41487781875" "-4.18611885832794" "0.741709075828034" "-5.64388248000688" "1.66257581332712e-08" "2.04330567457903e-05"
"5" "ADH1C" "133.592457156856" "-3.18616929101168" "0.57163976431822" "-5.57373627569758" "2.49333095576011e-08" "2.59579808896051e-05"
"6" "AKR1B10" "88.6630277868727" "-2.75184911582299" "0.554918793606121" "-4.95901228707753" "7.08524864170321e-07" "0.000326541396774497"
"7" "ALDH1A2" "1151.2557703079" "-1.88756493936838" "0.468991768451783" "-4.02472935846941" "5.7040877156488e-05" "0.00627790191271556"
"8" "ALX1" "27.0339616297066" "-2.24217360148837" "0.562171462423347" "-3.98841590397181" "6.65159741417368e-05" "0.00694087915077123"
"9" "ANGPTL8" "45.392910921088" "-2.33910999990815" "0.498699091588381" "-4.69042362290649" "2.72639987441329e-06" "0.000826211205777683"
"10" "ANKRD2" "74.8939016025303" "-2.39717153273016" "0.521971053662493" "-4.59253729859161" "4.37889216157777e-06" "0.00113964532233439"
"11" "APOH" "103.839334712505" "-2.37353841530524" "0.606382457662957" "-3.9142596975068" "9.06819962732811e-05" "0.00862470621851734"
"12" "AQP6" "258.044421663093" "-2.74997454885152" "0.677537837083091" "-4.05877634921557" "4.93305310766861e-05" "0.00574363162357079"
"13" "ARSI" "64.4010915378438" "-2.09797408578324" "0.469495997968983" "-4.46856649440883" "7.87455347442136e-06" "0.0017548309272413"
"14" "ARX" "40.3875338951541" "-3.68304550109189" "0.770810939195957" "-4.77814378832469" "1.76920849632105e-06" "0.000631265005735712"
"15" "ASB5" "11.82635960232" "-2.39377007887122" "0.566045157867238" "-4.22893835518449" "2.34796664593028e-05" "0.00358218745801859"
"16" "ASTN1" "22.4190978917481" "-1.63815229908583" "0.411211310755059" "-3.98372383307717" "6.78437099954372e-05" "0.00704619038741344"
"17" "ATP6V0A4" "1217.10569644685" "-3.93426303538243" "0.770424867094294" "-5.10661480881419" "3.27981368029217e-07" "0.000181390095588559"
"18" "ATP6V0D2" "704.731928865556" "-2.84647141406368" "0.717448931066938" "-3.96748993664346" "7.26335780829204e-05" "0.00743888895532577"
"19" "ATP6V1B1" "657.623241439723" "-2.8053424593006" "0.570074886551995" "-4.9210069158953" "8.6100087697494e-07" "0.000380941228008793"
"20" "ATP6V1C2" "244.282153540067" "-1.40210438978935" "0.341782078137144" "-4.10233443904199" "4.09002504656188e-05" "0.00515152537982459"
"21" "AVPR2" "192.248368704159" "-1.66611878415317" "0.427819269122394" "-3.89444539880347" "9.84236579061895e-05" "0.0090345566813308"
"22" "B3GALT5" "279.107247543994" "-2.0907347504874" "0.533228554269411" "-3.92089795969753" "8.82196158314793e-05" "0.00859733190054619"
"23" "B3GNT6" "1.44114293293591" "-2.59943229884406" "0.649433362665697" "-4.00261589299062" "6.26459637616737e-05" "0.0065993048111226"
"24" "B4GALNT4" "181.283996615277" "-2.10043271203546" "0.536169919032383" "-3.91747585509101" "8.94810050520218e-05" "0.00862404639974749"
"25" "BARX1" "8.51852083374523" "-2.7605134698365" "0.657205738194027" "-4.2003794388988" "2.6646803070816e-05" "0.00395624548679591"
"26" "BNC1" "35.2389541159964" "-2.27248350716207" "0.499036615607587" "-4.55374102037638" "5.27002286104724e-06" "0.0013099263565403"
"27" "BRINP3" "20.7203072112605" "-3.7918694202895" "0.945969921188585" "-4.00844607778344" "6.11195902125637e-05" "0.0065754562823564"
"28" "C15orf56" "19.8500775339578" "-2.2795955753055" "0.583514542576632" "-3.90666454556466" "9.35789258716747e-05" "0.00869904413120922"
