Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Function	Apoptosis	6	0.05660377	2.3129473	0.0385	1	0.2902	hsa-mir-9-1,hsa-mir-9-2,hsa-mir-1-2,hsa-mir-144,hsa-mir-221,hsa-mir-9-3
Function	Bone Regeneration	3	0.1	4.0862069	0.0343	1	0.2676	hsa-mir-221,hsa-mir-20b,hsa-mir-1-2
Function	Cardiac Regeneration	1	0.04545455	1.85736677	0.4231	1	1	hsa-mir-1-2
Function	Cardiogenesis	1	0.14285714	5.83743842	0.1596	1	0.6828	hsa-mir-1-2
Function	Cell Cycle	8	0.09638554	3.93851267	5.29e-4	0.2083	0.0118	hsa-mir-9-1,hsa-mir-221,hsa-mir-200c,hsa-mir-141,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-205,hsa-mir-1-2
Function	Cell Death	4	0.05128205	2.09549072	0.1178	1	0.5369	hsa-mir-221,hsa-mir-129-2,hsa-mir-205,hsa-mir-1-2
Function	Cell Differentiation	5	0.08928571	3.64839901	9.78e-3	1	0.095	hsa-mir-9-1,hsa-mir-200c,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-1-2
Function	Cell Proliferation	8	0.1	4.0862069	4.08e-4	0.1609	9.88e-3	hsa-mir-221,hsa-mir-9-1,hsa-mir-200c,hsa-mir-451a,hsa-mir-509-3,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-1-2
Function	Heart Development	1	0.09090909	3.71473354	0.2395	1	0.8923	hsa-mir-1-2
Function	Hematopoiesis	6	0.10526316	4.30127042	1.91e-3	0.751	0.0279	hsa-mir-486-2,hsa-mir-221,hsa-mir-20b,hsa-mir-486-1,hsa-mir-1-2,hsa-mir-144
Function	Hormone-mediated Signaling Pathway 	6	0.10344828	4.22711058	2.09e-3	0.8234	0.0288	hsa-mir-9-1,hsa-mir-221,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-1-2,hsa-mir-375
Function	Inflammation	12	0.10714286	4.37807882	3.75e-6	1.48e-3	3.17e-4	hsa-mir-9-1,hsa-mir-20b,hsa-mir-199b,hsa-mir-9-2,hsa-mir-1-2,hsa-mir-144,hsa-mir-33a,hsa-mir-221,hsa-mir-205,hsa-mir-466,hsa-mir-141,hsa-mir-9-3
Function	Muscle Development	2	0.0952381	3.89162562	0.0911	1	0.4887	hsa-mir-1-2,hsa-mir-221
Function	Osteogenesis	6	0.10169492	4.15546464	2.29e-3	0.901	0.0311	hsa-mir-33a,hsa-mir-221,hsa-mir-200c,hsa-mir-214,hsa-mir-346,hsa-mir-1-2
Function	Skeletal Muscle Cell Differentiation	1	0.04545455	1.85736677	0.4231	1	1	hsa-mir-1-2
Function	T-helper 17 Cell Differentiation	4	0.21052632	8.60254083	8.72e-4	0.3434	0.0159	hsa-mir-141,hsa-mir-20b,hsa-mir-1-2,hsa-mir-214
Function	Aging	9	0.14285714	5.83743842	8.25e-6	3.25e-3	6.11e-4	hsa-mir-9-1,hsa-mir-221,hsa-mir-200c,hsa-mir-1248,hsa-mir-451a,hsa-mir-141,hsa-mir-9-3,hsa-mir-9-2,hsa-mir-144
Function	Epithelial-to-Mesenchymal Transition	10	0.12048193	4.92314084	1.11e-5	4.38e-3	7.75e-4	hsa-mir-486-2,hsa-mir-221,hsa-mir-200c,hsa-mir-486-1,hsa-mir-129-2,hsa-mir-451a,hsa-mir-141,hsa-mir-205,hsa-mir-375,hsa-mir-144
