Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Disease	Carcinoma, Hepatocellular	13	0.03834808	1.89343658	5.40e-3	1	0.2132	hsa-mir-200c,hsa-mir-506,hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-206,hsa-mir-508,hsa-mir-184,hsa-mir-187,hsa-mir-1269b,hsa-mir-205,hsa-mir-483,hsa-mir-141
Disease	Carcinoma, Oral	2	0.05405405	2.66891892	0.1706	1	1	hsa-mir-1269b,hsa-mir-205
Disease	Autism Spectrum Disorder	2	0.07142857	3.52678571	0.108	1	1	hsa-mir-129-1,hsa-mir-129-2
Disease	Biliary Atresia	2	0.33333333	16.45833333	5.61e-3	1	0.2146	hsa-mir-129-2,hsa-mir-129-1
Disease	Brain Neoplasms	2	0.08333333	4.11458333	0.0828	1	0.971	hsa-mir-129-1,hsa-mir-129-2
Disease	Carcinoma, Breast	9	0.02586207	1.27693966	0.1989	1	1	hsa-mir-375,hsa-mir-184,hsa-mir-506,hsa-mir-200c,hsa-mir-129-1,hsa-mir-129-2,hsa-mir-206,hsa-mir-205,hsa-mir-141
Disease	Carcinoma, Cervical	8	0.05797101	2.86231884	4.00e-3	1	0.1695	hsa-mir-506,hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-206,hsa-mir-187,hsa-mir-205,hsa-mir-141
Disease	Carcinoma, Colon	10	0.03174603	1.56746032	0.0766	1	0.9767	hsa-mir-200c,hsa-mir-506,hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-206,hsa-mir-187,hsa-mir-205,hsa-mir-483,hsa-mir-141
Disease	Carcinoma, Gastric	12	0.04363636	2.15454545	3.44e-3	0.888	0.1942	hsa-mir-200c,hsa-mir-506,hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-206,hsa-mir-508,hsa-mir-187,hsa-mir-205,hsa-mir-483,hsa-mir-551b,hsa-mir-141
Disease	Carcinoma, Lung	9	0.04225352	2.08626761	0.0179	1	0.4516	hsa-mir-506,hsa-mir-200c,hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-206,hsa-mir-187,hsa-mir-205,hsa-mir-141
Disease	Carcinoma, Lung. Non-Small-Cell	10	0.0456621	2.25456621	6.63e-3	1	0.231	hsa-mir-200c,hsa-mir-129-1,hsa-mir-599,hsa-mir-375,hsa-mir-129-2,hsa-mir-184,hsa-mir-187,hsa-mir-205,hsa-mir-483,hsa-mir-141
Disease	Carcinoma, Ovarian	11	0.05670103	2.7996134	6.02e-4	0.1552	0.0594	hsa-mir-506,hsa-mir-200c,hsa-mir-129-1,hsa-mir-129-2,hsa-mir-206,hsa-mir-184,hsa-mir-187,hsa-mir-205,hsa-mir-483,hsa-mir-551b,hsa-mir-141
Disease	Carcinoma, Prostate	9	0.03501946	1.7290856	0.0556	1	0.8232	hsa-mir-200c,hsa-mir-129-1,hsa-mir-323a,hsa-mir-375,hsa-mir-129-2,hsa-mir-187,hsa-mir-205,hsa-mir-483,hsa-mir-141
Disease	Carcinoma, Thyroid, Medullary	4	0.36363636	17.95454545	3.90e-5	0.0101	0.0154	hsa-mir-129-2,hsa-mir-375,hsa-mir-129-1,hsa-mir-200c
Disease	Chondrosarcoma	4	0.19047619	9.4047619	6.17e-4	0.1591	0.0562	hsa-mir-129-2,hsa-mir-206,hsa-mir-129-1,hsa-mir-141
Disease	Gastrointestinal Neoplasms	5	0.06097561	3.01067073	0.021	1	0.4875	hsa-mir-200c,hsa-mir-129-1,hsa-mir-129-2,hsa-mir-141,hsa-mir-375
Disease	Glioblastoma	6	0.03550296	1.75295858	0.1141	1	1	hsa-mir-200c,hsa-mir-506,hsa-mir-129-1,hsa-mir-129-2,hsa-mir-206,hsa-mir-205
Disease	Heart Failure	4	0.03333333	1.64583333	0.2193	1	1	hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-205
Disease	Inflammatory Bowel Diseases	4	0.125	6.171875	3.19e-3	0.8227	0.1889	hsa-mir-200c,hsa-mir-129-1,hsa-mir-129-2,hsa-mir-206
Disease	Oral Leukoplakia	3	0.25	12.34375	1.43e-3	0.3681	0.1208	hsa-mir-129-2,hsa-mir-205,hsa-mir-129-1
Disease	Osteosarcoma	7	0.04093567	2.02119883	0.0461	1	0.709	hsa-mir-200c,hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-206,hsa-mir-205,hsa-mir-141
Disease	Parkinson's Disease	2	0.04878049	2.40853659	0.2002	1	1	hsa-mir-129-1,hsa-mir-129-2
Disease	Peritoneal Dialysis Failure	3	0.09677419	4.77822581	0.0226	1	0.5155	hsa-mir-129-1,hsa-mir-129-2,hsa-mir-205
Disease	Squamous Cell Carcinoma, Esophageal	6	0.04225352	2.08626761	0.0574	1	0.8403	hsa-mir-129-1,hsa-mir-375,hsa-mir-129-2,hsa-mir-508,hsa-mir-205,hsa-mir-483
Disease	Amyotrophic Lateral Sclerosis	3	0.33333333	16.45833333	5.67e-4	0.1463	0.0611	hsa-mir-129-2,hsa-mir-206,hsa-mir-141
Disease	Breast Neoplasms	6	0.04054054	2.00168919	0.068	1	0.8959	hsa-mir-200c,hsa-mir-129-2,hsa-mir-206,hsa-mir-184,hsa-mir-205,hsa-mir-141
Disease	Carcinoma, Renal Cell	6	0.05042017	2.4894958	0.0268	1	0.5876	hsa-mir-200c,hsa-mir-129-2,hsa-mir-206,hsa-mir-184,hsa-mir-205,hsa-mir-141
Disease	Carcinoma, Urothelial	1	0.06666667	3.29166667	0.2656	1	1	hsa-mir-129-2
Disease	Gastric Neoplasms	1	0.09090909	4.48863636	0.2023	1	1	hsa-mir-129-2
Disease	Glioma	8	0.03846154	1.89903846	0.0448	1	0.7084	hsa-mir-200c,hsa-mir-506,hsa-mir-323a,hsa-mir-129-2,hsa-mir-508,hsa-mir-184,hsa-mir-205,hsa-mir-141
Disease	Lung Neoplasms	5	0.04545455	2.24431818	0.0639	1	0.8607	hsa-mir-375,hsa-mir-129-2,hsa-mir-206,hsa-mir-187,hsa-mir-205
Disease	ACTH-Secreting Pituitary Adenoma	1	0.09090909	4.48863636	0.2023	1	1	hsa-mir-141
Disease	Adenocarcinoma, Pancreatic Ductal	6	0.08450704	4.17253521	2.13e-3	0.5495	0.1485	hsa-mir-483,hsa-mir-506,hsa-mir-200c,hsa-mir-206,hsa-mir-141,hsa-mir-375
Disease	Adenocarcinoma, Prostate	1	0.2	9.875	0.0974	1	1	hsa-mir-141
Disease	Carcinoma, Biliary Tract	2	0.28571429	14.10714286	7.76e-3	1	0.2486	hsa-mir-205,hsa-mir-141
Disease	Carcinoma, Bladder	4	0.03333333	1.64583333	0.2193	1	1	hsa-mir-200c,hsa-mir-375,hsa-mir-205,hsa-mir-141
Disease	Carcinoma, Endometrial	3	0.05172414	2.55387931	0.1086	1	1	hsa-mir-200c,hsa-mir-141,hsa-mir-205
Disease	Carcinoma, Endometrioid Endometrial	3	0.42857143	21.16071429	2.43e-4	0.0626	0.0575	hsa-mir-205,hsa-mir-200c,hsa-mir-141
Disease	Carcinoma, Esophageal	6	0.09090909	4.48863636	1.45e-3	0.373	0.1142	hsa-mir-483,hsa-mir-506,hsa-mir-200c,hsa-mir-141,hsa-mir-205,hsa-mir-375
Disease	Carcinoma, Pancreatic	8	0.04819277	2.37951807	0.0126	1	0.3542	hsa-mir-506,hsa-mir-200c,hsa-mir-323a,hsa-mir-375,hsa-mir-206,hsa-mir-205,hsa-mir-483,hsa-mir-141
Disease	Carcinoma, Rectal	1	0.02083333	1.02864583	0.633	1	1	hsa-mir-141
Disease	Carcinoma, Renal Cell, Clear-Cell	4	0.06896552	3.40517241	0.0264	1	0.5894	hsa-mir-506,hsa-mir-187,hsa-mir-141,hsa-mir-487a
Disease	Cardiomyopathy, Ischemic	2	0.10526316	5.19736842	0.0545	1	0.8281	hsa-mir-483,hsa-mir-141
Disease	Cholangiocarcinoma	4	0.11428571	5.64285714	4.46e-3	1	0.1821	hsa-mir-483,hsa-mir-200c,hsa-mir-141,hsa-mir-205
Disease	Colitis, Ulcerative	2	0.07692308	3.79807692	0.0951	1	1	hsa-mir-200c,hsa-mir-141
Disease	Colon Neoplasms	2	0.02597403	1.28246753	0.4698	1	1	hsa-mir-141,hsa-mir-205
Disease	Crohn Disease	1	0.03030303	1.49621212	0.4957	1	1	hsa-mir-141
Disease	Endometriosis	1	0.02439024	1.20426829	0.5741	1	1	hsa-mir-141
Disease	Esophageal Neoplasms	1	0.11111111	5.48611111	0.1687	1	1	hsa-mir-141
Disease	Hepatitis B Virus Infection	2	0.02985075	1.4738806	0.3979	1	1	hsa-mir-141,hsa-mir-205
Disease	Hirschsprung's Disease	2	0.09090909	4.48863636	0.071	1	0.9243	hsa-mir-206,hsa-mir-141
Disease	Idiopathic Asthenospermia	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-141
Disease	Melanoma	7	0.0530303	2.61837121	0.0123	1	0.3569	hsa-mir-506,hsa-mir-200c,hsa-mir-375,hsa-mir-206,hsa-mir-508,hsa-mir-205,hsa-mir-141
Disease	Multiple Sclerosis	2	0.04255319	2.10106383	0.2458	1	1	hsa-mir-599,hsa-mir-141
Disease	Nephrosclerosis	2	0.33333333	16.45833333	5.61e-3	1	0.2146	hsa-mir-205,hsa-mir-141
Disease	Ovarian Neoplasms	2	0.01886792	0.93160377	0.6486	1	1	hsa-mir-200c,hsa-mir-141
Disease	Squamous Cell Carcinoma, Head and Neck	5	0.10416667	5.14322917	2.10e-3	0.5419	0.1556	hsa-mir-934,hsa-mir-200c,hsa-mir-206,hsa-mir-141,hsa-mir-375
Disease	Thyroid Neoplasms	2	0.125	6.171875	0.0397	1	0.7972	hsa-mir-323a,hsa-mir-141
Disease	Carcinoma, Nasopharyngeal	5	0.04385965	2.16557018	0.0725	1	0.9343	hsa-mir-200c,hsa-mir-506,hsa-mir-184,hsa-mir-205,hsa-mir-483
Disease	Cardiomyopathy, Hypertrophic	1	0.01818182	0.89772727	0.684	1	1	hsa-mir-184
Disease	Cataract	1	0.5	24.6875	0.0401	1	0.7922	hsa-mir-184
Disease	Glaucoma	3	0.10344828	5.10775862	0.0189	1	0.4662	hsa-mir-483,hsa-mir-184,hsa-mir-205
Disease	Habitual Abortion	2	0.14285714	7.05357143	0.0308	1	0.6647	hsa-mir-184,hsa-mir-187
Disease	Heart Diseases [unspecific]	1	0.02631579	1.29934211	0.5462	1	1	hsa-mir-184
Disease	Macular Degeneration	1	0.07142857	3.52678571	0.2503	1	1	hsa-mir-184
Disease	Retinal Neovascularization	1	0.14285714	7.05357143	0.1338	1	1	hsa-mir-184
Disease	Squamous Cell Carcinoma, Oral	4	0.04819277	2.37951807	0.0811	1	0.9712	hsa-mir-200c,hsa-mir-184,hsa-mir-205,hsa-mir-375
Disease	Adenocarcinoma, Lung	7	0.06930693	3.4220297	2.73e-3	0.7055	0.1705	hsa-mir-200c,hsa-mir-375,hsa-mir-206,hsa-mir-187,hsa-mir-205,hsa-mir-483,hsa-mir-551b
