ID	Gene Name	Species	GOTERM_MF_DIRECT
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens	GO:0004421~hydroxymethylglutaryl-CoA synthase activity,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0046872~metal ion binding,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008253~5'-nucleotidase activity,
HTR3B	5-hydroxytryptamine receptor 3B(HTR3B)	Homo sapiens	GO:0004889~acetylcholine-activated cation-selective channel activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005232~serotonin-activated cation-selective channel activity,GO:0015464~acetylcholine receptor activity,GO:0042166~acetylcholine binding,
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19(ADAMTS19)	Homo sapiens	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,
ARL14	ADP ribosylation factor like GTPase 14(ARL14)	Homo sapiens	GO:0005515~protein binding,GO:0005525~GTP binding,
ART1	ADP-ribosyltransferase 1(ART1)	Homo sapiens	GO:0003950~NAD+ ADP-ribosyltransferase activity,GO:0003956~NAD(P)+-protein-arginine ADP-ribosyltransferase activity,
ABCA13	ATP binding cassette subfamily A member 13(ABCA13)	Homo sapiens	GO:0005215~transporter activity,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,
ABCA4	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	GO:0005215~transporter activity,GO:0005395~eye pigment precursor transporter activity,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0090555~phosphatidylethanolamine-translocating ATPase activity,
ABCG8	ATP binding cassette subfamily G member 8(ABCG8)	Homo sapiens	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0017127~cholesterol transporter activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,GO:0046982~protein heterodimerization activity,
ATP6V0D2	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens	GO:0005515~protein binding,GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,
ATP6V1G3	ATPase H+ transporting V1 subunit G3(ATP6V1G3)	Homo sapiens	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0051117~ATPase binding,
ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A)	Homo sapiens	GO:0005391~sodium:potassium-exchanging ATPase activity,GO:0005524~ATP binding,GO:0008900~hydrogen:potassium-exchanging ATPase activity,GO:0046872~metal ion binding,
ATP10B	ATPase phospholipid transporting 10B (putative)(ATP10B)	Homo sapiens	GO:0000287~magnesium ion binding,GO:0004012~phospholipid-translocating ATPase activity,GO:0005515~protein binding,GO:0005524~ATP binding,
BRINP1	BMP/retinoic acid inducible neural specific 1(BRINP1)	Homo sapiens	GO:0005515~protein binding,
CCL11	C-C motif chemokine ligand 11(CCL11)	Homo sapiens	GO:0005515~protein binding,GO:0008009~chemokine activity,GO:0048020~CCR chemokine receptor binding,
CCL21	C-C motif chemokine ligand 21(CCL21)	Homo sapiens	GO:0008009~chemokine activity,GO:0031732~CCR7 chemokine receptor binding,GO:0042379~chemokine receptor binding,GO:0048020~CCR chemokine receptor binding,
CRP	C-reactive protein(CRP)	Homo sapiens	GO:0001849~complement component C1q binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0030169~low-density lipoprotein particle binding,GO:0033265~choline binding,GO:0046790~virion binding,GO:0050750~low-density lipoprotein particle receptor binding,
C2CD4B	C2 calcium dependent domain containing 4B(C2CD4B)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005544~calcium-dependent phospholipid binding,GO:0019905~syntaxin binding,GO:0030276~clathrin binding,
CPAMD8	C3 and PZP like, alpha-2-macroglobulin domain containing 8(CPAMD8)	Homo sapiens	GO:0004866~endopeptidase inhibitor activity,GO:0004867~serine-type endopeptidase inhibitor activity,
CASKIN1	CASK interacting protein 1(CASKIN1)	Homo sapiens	GO:0005515~protein binding,
DAB1	DAB1, reelin adaptor protein(DAB1)	Homo sapiens	GO:0005515~protein binding,GO:0043548~phosphatidylinositol 3-kinase binding,
ELF5	E74 like ETS transcription factor 5(ELF5)	Homo sapiens	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0043565~sequence-specific DNA binding,
EPHA5	EPH receptor A5(EPHA5)	Homo sapiens	GO:0005003~ephrin receptor activity,GO:0005004~GPI-linked ephrin receptor activity,GO:0005005~transmembrane-ephrin receptor activity,GO:0005524~ATP binding,
EHF	ETS homologous factor(EHF)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding,
ETV4	ETS variant 4(ETV4)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,
EYA4	EYA transcriptional coactivator and phosphatase 4(EYA4)	Homo sapiens	GO:0004725~protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0046872~metal ion binding,
FRMPD4	FERM and PDZ domain containing 4(FRMPD4)	Homo sapiens	GO:0005515~protein binding,GO:0005546~phosphatidylinositol-4,5-bisphosphate binding,
FXYD4	FXYD domain containing ion transport regulator 4(FXYD4)	Homo sapiens	GO:0005267~potassium channel activity,GO:0017080~sodium channel regulator activity,GO:0051117~ATPase binding,
GPR22	G protein-coupled receptor 22(GPR22)	Homo sapiens	GO:0004930~G-protein coupled receptor activity,GO:0042277~peptide binding,
GC	GC, vitamin D binding protein(GC)	Homo sapiens	GO:0003779~actin binding,GO:0005499~vitamin D binding,GO:0051183~vitamin transporter activity,GO:1902118~calcidiol binding,
GSG1L	GSG1 like(GSG1L)	Homo sapiens	GO:0005515~protein binding,
HMX2	H6 family homeobox 2(HMX2)	Homo sapiens	GO:0043565~sequence-specific DNA binding,
KIT	KIT proto-oncogene receptor tyrosine kinase(KIT)	Homo sapiens	GO:0002020~protease binding,GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0004716~receptor signaling protein tyrosine kinase activity,GO:0005020~stem cell factor receptor activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019955~cytokine binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,
LMO3	LIM domain only 3(LMO3)	Homo sapiens	GO:0005515~protein binding,GO:0008270~zinc ion binding,
LHX1	LIM homeobox 1(LHX1)	Homo sapiens	GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003714~transcription corepressor activity,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,
LMX1B	LIM homeobox transcription factor 1 beta(LMX1B)	Homo sapiens	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,
MAFA	MAF bZIP transcription factor A(MAFA)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0042803~protein homodimerization activity,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,
NAT8L	N-acetyltransferase 8 like(NAT8L)	Homo sapiens	GO:0008080~N-acetyltransferase activity,GO:0017188~aspartate N-acetyltransferase activity,
NDST3	N-deacetylase and N-sulfotransferase 3(NDST3)	Homo sapiens	GO:0015016~[heparan sulfate]-glucosamine N-sulfotransferase activity,GO:0016787~hydrolase activity,
NIPAL1	NIPA like domain containing 1(NIPAL1)	Homo sapiens	GO:0015095~magnesium ion transmembrane transporter activity,
NKX6-2	NK6 homeobox 2(NKX6-2)	Homo sapiens	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,
NOTUM	NOTUM, palmitoleoyl-protein carboxylesterase(NOTUM)	Homo sapiens	GO:0004629~phospholipase C activity,GO:0016787~hydrolase activity,GO:1990699~palmitoleyl hydrolase activity,
NPHS1	NPHS1, nephrin(NPHS1)	Homo sapiens	GO:0005515~protein binding,GO:0017022~myosin binding,
NPHS2	NPHS2, podocin(NPHS2)	Homo sapiens	GO:0005515~protein binding,
NRK	Nik related kinase(NRK)	Homo sapiens	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004702~receptor signaling protein serine/threonine kinase activity,GO:0005524~ATP binding,GO:0016301~kinase activity,
PACRG	PARK2 coregulated(PACRG)	Homo sapiens	GO:0001664~G-protein coupled receptor binding,GO:0003779~actin binding,GO:0030544~Hsp70 protein binding,GO:0031072~heat shock protein binding,GO:0031625~ubiquitin protein ligase binding,GO:0043014~alpha-tubulin binding,GO:0048487~beta-tubulin binding,GO:0051087~chaperone binding,GO:0051879~Hsp90 protein binding,
PHF21B	PHD finger protein 21B(PHF21B)	Homo sapiens	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0003682~chromatin binding,GO:0003712~transcription cofactor activity,GO:0008270~zinc ion binding,GO:0042393~histone binding,
POU3F4	POU class 3 homeobox 4(POU3F4)	Homo sapiens	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0003680~AT DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,
RSPO1	R-spondin 1(RSPO1)	Homo sapiens	GO:0001664~G-protein coupled receptor binding,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008201~heparin binding,
RALYL	RALY RNA binding protein-like(RALYL)	Homo sapiens	GO:0000166~nucleotide binding,GO:0003676~nucleic acid binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0044822~poly(A) RNA binding,
RANBP3L	RAN binding protein 3 like(RANBP3L)	Homo sapiens	GO:0008536~Ran GTPase binding,GO:0070412~R-SMAD binding,
RASL11B	RAS like family 11 member B(RASL11B)	Homo sapiens	GO:0005160~transforming growth factor beta receptor binding,GO:0005525~GTP binding,
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)	Homo sapiens	GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019903~protein phosphatase binding,
RHBG	Rh family B glycoprotein (gene/pseudogene)(RHBG)	Homo sapiens	GO:0008519~ammonium transmembrane transporter activity,GO:0030506~ankyrin binding,
RHCG	Rh family C glycoprotein(RHCG)	Homo sapiens	GO:0008519~ammonium transmembrane transporter activity,GO:0030506~ankyrin binding,
S100A2	S100 calcium binding protein A2(S100A2)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0042802~identical protein binding,
SMOC1	SPARC related modular calcium binding 1(SMOC1)	Homo sapiens	GO:0005509~calcium ion binding,GO:0005515~protein binding,
ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)	Homo sapiens	GO:0001665~alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity,GO:0008373~sialyltransferase activity,GO:0016757~transferase activity, transferring glycosyl groups,
