ID	Gene Name	Species	OMIM_DISEASE
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens	605911~HMG-CoA synthase-2 deficiency,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	140350~Hawkinsinuria,276710~Tyrosinemia, type III,
ABCA4	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	153800~Macular degeneration, age-related, 2,248200~Fundus flavimaculatus,248200~Retinal dystrophy, early-onset severe,248200~Stargardt disease 1,601718~Retinitis pigmentosa 19,604116~Cone-rod dystrophy 3,
ABCG8	ATP binding cassette subfamily G member 8(ABCG8)	Homo sapiens	210250~Sitosterolemia,611465~Gallbladder disease 4,
CCL11	C-C motif chemokine ligand 11(CCL11)	Homo sapiens	600807~Asthma, susceptibility to,609423~HIV1, resistance to,
EYA4	EYA transcriptional coactivator and phosphatase 4(EYA4)	Homo sapiens	601316~Deafness, autosomal dominant 10,605362~Cardiomyopathy, dilated, 1J,
FRMD7	FERM domain containing 7(FRMD7)	Homo sapiens	310700~Nystagmus 1, congenital, X-linked,310700~Nystagmus, infantile periodic alternating, X-linked,
KIT	KIT proto-oncogene receptor tyrosine kinase(KIT)	Homo sapiens	154800~Mast cell disease,172800~Piebaldism,273300~Germ cell tumors,601626~Leukemia, acute myeloid,606764~Gastrointestinal stromal tumor, familial,
L1CAM	L1 cell adhesion molecule(L1CAM)	Homo sapiens	303350~CRASH syndrome,303350~MASA syndrome,304100~Corpus callosum, partial agenesis of,307000~Hydrocephalus due to aqueductal stenosis,307000~Hydrocephalus with congenital idiopathic intestinal pseudoobstruction,307000~Hydrocephalus with Hirschsprung disease,
LMX1B	LIM homeobox transcription factor 1 beta(LMX1B)	Homo sapiens	161200~Nail-patella syndrome,
NAT8L	N-acetyltransferase 8 like(NAT8L)	Homo sapiens	614063~N-acetylaspartate deficiency,
NPHS1	NPHS1, nephrin(NPHS1)	Homo sapiens	256300~Nephrotic syndrome, type 1,
