Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0022857~transmembrane transporter activity	36	0.12197601138442773	8.904145493019462E-9	CLDN16, SLC2A12, TF, SLC36A2, FXYD4, GABRB2, SLC9A2, RHBG, CLCNKB, MFSD2A, AQP6, ATP6V1B1, KCNJ13, KCNS1, SLCO1A2, SLC30A2, SCN7A, SLC4A9, ATP6V0D2, ABCA13, GJB3, MAL, RHAG, SLC34A2, KCNJ5, ATP6V1C2, SLC4A11, RHCG, GRIA2, CDH17, SLC26A7, CHRNB4, SLC13A2, SLC9C2, SLC13A3, ATP6V0A4	197	1032	16881	2.989198441742415	6.126033389119989E-6	6.126033389119989E-6	1.3396917342145542E-5
GOTERM_MF_ALL	GO:0015075~ion transmembrane transporter activity	31	0.1050348986921461	2.069114803189547E-8	CLDN16, SLC2A12, TF, SLC36A2, FXYD4, GABRB2, SLC9A2, RHBG, CLCNKB, AQP6, ATP6V1B1, KCNJ13, KCNS1, SLCO1A2, SLC30A2, SCN7A, SLC4A9, ATP6V0D2, RHAG, SLC34A2, KCNJ5, ATP6V1C2, SLC4A11, RHCG, GRIA2, SLC26A7, CHRNB4, SLC13A2, SLC13A3, SLC9C2, ATP6V0A4	197	817	16881	3.251408831368943	1.4235408658747062E-5	7.117729660333083E-6	3.1131294486730354E-5
GOTERM_MF_ALL	GO:0022891~substrate-specific transmembrane transporter activity	32	0.10842312123060242	1.850262467908453E-7	CLDN16, SLC2A12, TF, SLC36A2, FXYD4, GABRB2, SLC9A2, RHBG, CLCNKB, AQP6, ATP6V1B1, KCNJ13, KCNS1, SLCO1A2, SLC30A2, SCN7A, SLC4A9, ATP6V0D2, RHAG, SLC34A2, KCNJ5, ATP6V1C2, SLC4A11, RHCG, GRIA2, CDH17, SLC26A7, CHRNB4, SLC13A2, SLC9C2, SLC13A3, ATP6V0A4	197	954	16881	2.874309612744628	1.2728996749800103E-4	4.2431789597285885E-5	2.7838474327968044E-4
GOTERM_MF_ALL	GO:0008324~cation transmembrane transporter activity	25	0.08470556346140815	2.1204259695205056E-7	SLC2A12, CLDN16, TF, SLC36A2, FXYD4, SLC9A2, RHBG, ATP6V1B1, KCNJ13, KCNS1, SLC30A2, SCN7A, SLC4A9, ATP6V0D2, RHAG, SLC34A2, KCNJ5, ATP6V1C2, SLC4A11, RHCG, CHRNB4, SLC13A2, SLC13A3, SLC9C2, ATP6V0A4	197	616	16881	3.4776929922869004	1.4587468140547788E-4	3.6470665466969976E-5	3.190326439583835E-4
GOTERM_CC_ALL	GO:0071944~cell periphery	98	0.3320458087687199	3.342954116156314E-7	SLC36A2, CADM3, SLC52A1, SYT5, VTCN1, GABRB2, LYPD8, EFNA2, SLC9A2, SYT3, L1CAM, VTN, SYT7, AQP6, DIRAS1, ADAM7, ROS1, VNN2, PTPRH, GRHL2, SLC34A2, SSTR5, RHCG, SLC9C2, OR7D2, SLC2A12, ODAM, FXYD4, CYSLTR2, ASTN1, NKAIN4, ATP6V1B1, KCNS1, MSLN, TMEM30B, SLC30A2, KLB, OOEP, CPNE7, REEP2, ACPP, KCNJ5, GGT6, SLC4A11, SFRP1, PKP3, CHRNB4, SPTBN2, PLA2G4F, SLC13A2, SLC13A3, ADGRF1, CLSTN2, MFSD2A, CPEB1, LGR5, KCNJ13, INSRR, RDH8, GPC3, SCN7A, DPP6, ATP6V0D2, PIK3C2G, CLMP, OXGR1, IL20RB, SLC26A7, GRM8, CHL1, CLDN16, AVPR2, TF, RAB3B, RHBG, CLCNKB, GCGR, TPSG1, SLCO1A2, INPP5J, SYN2, SERPINC1, VWC2, HRG, SLC4A9, FGFBP1, TMPRSS2, NTNG1, GJB3, IGF2, MAL, RHAG, PROM2, GRIA2, CDH17, CDH19, ATP6V0A4, CDH10	217	5256	18224	1.565866352432857	1.1833359350577055E-4	1.1833359350577055E-4	4.579801834991848E-4
GOTERM_CC_ALL	GO:0005886~plasma membrane	96	0.32526936369180726	4.688276142617979E-7	CADM3, SLC36A2, SLC52A1, ADGRF1, CLSTN2, SYT5, VTCN1, GABRB2, EFNA2, LYPD8, SYT3, SLC9A2, VTN, L1CAM, MFSD2A, AQP6, SYT7, CPEB1, LGR5, KCNJ13, INSRR, RDH8, DIRAS1, GPC3, SCN7A, DPP6, ATP6V0D2, ADAM7, ROS1, VNN2, CLMP, PIK3C2G, PTPRH, OXGR1, GRHL2, SLC34A2, SSTR5, RHCG, IL20RB, GRM8, SLC26A7, SLC9C2, OR7D2, CHL1, CLDN16, SLC2A12, TF, AVPR2, RAB3B, FXYD4, CYSLTR2, RHBG, ASTN1, CLCNKB, NKAIN4, ATP6V1B1, GCGR, TPSG1, KCNS1, SLCO1A2, INPP5J, SYN2, MSLN, SERPINC1, TMEM30B, VWC2, HRG, SLC30A2, SLC4A9, FGFBP1, TMPRSS2, KLB, CPNE7, NTNG1, GJB3, IGF2, MAL, REEP2, RHAG, ACPP, KCNJ5, GGT6, PROM2, SLC4A11, GRIA2, SFRP1, CDH17, PKP3, CDH19, SPTBN2, CHRNB4, PLA2G4F, SLC13A2, SLC13A3, ATP6V0A4, CDH10	217	5141	18224	1.5682222164455444	1.6595124293061758E-4	8.29790642278283E-5	6.422869293531974E-4
GOTERM_MF_ALL	GO:0005215~transporter activity	38	0.12875245646134037	4.810303281742373E-7	CLDN16, SLC2A12, TF, SLC36A2, SLC52A1, FXYD4, GABRB2, SLC9A2, RHBG, CLCNKB, MFSD2A, AQP6, ATP6V1B1, KCNJ13, KCNS1, SLCO1A2, SLC30A2, SCN7A, SLC4A9, ATP6V0D2, ABCA13, CPNE7, GJB3, MAL, RHAG, SLC34A2, KCNJ5, ATP6V1C2, SLC4A11, RHCG, GRIA2, CDH17, SLC26A7, CHRNB4, SLC13A2, SLC9C2, SLC13A3, ATP6V0A4	197	1327	16881	2.453830823314296	3.308941877872007E-4	6.618759857390799E-5	7.237417845695759E-4
GOTERM_CC_ALL	GO:0044425~membrane part	120	0.4065867046147591	7.022969932792179E-7	CADM3, SLC36A2, SLC52A1, SYT5, VTCN1, B3GALT5, GABRB2, EFNA2, LYPD8, SLC9A2, SYT3, VTN, L1CAM, SYT7, AQP6, SMIM5, ADAM7, ROS1, VNN2, MAGEL2, PTPRH, SLC34A2, CWH43, SSTR5, RHCG, SLC9C2, OR7D2, ASB5, SLC2A12, GAL3ST3, TMEM213, FXYD4, CYSLTR2, ASTN1, NKAIN4, ATP6V1B1, KCNS1, B3GNT6, MSLN, TMEM30B, SLC30A2, KLB, CYP2C9, REEP2, ACPP, KCNJ5, GGT6, SLC4A11, FAM151A, SFRP1, CHRNB4, SPTBN2, SLC13A2, PLA2G4F, MS4A10, SLC13A3, NAT8L, ADGRF1, CLSTN2, MFSD2A, CPEB1, LGR5, KCNJ13, INSRR, RDH8, SLN, GPC3, SMCO3, SCN7A, DPP6, ATP6V0D2, HPD, CLMP, PIK3C2G, CES5A, DMRT2, OXGR1, HEPACAM2, MMP13, ATP6V1C2, KLRG2, IL20RB, SLC26A7, GRM8, CHL1, CLDN16, TF, AVPR2, RHBG, CLCNKB, EPB41L4B, GCGR, TPSG1, SLCO1A2, UGT1A8, SYN2, HS6ST2, UGT2A1, VWC2, B4GALNT4, SLC4A9, ABCA13, MOGAT2, TMPRSS2, HS3ST3A1, TMC3, GJB3, NTNG1, MAL, FRZB, RHAG, PROM2, GRIA2, CYP26C1, CDH17, CFAP47, CDH19, UGT2B4, ATP6V0A4, CDH10	217	7057	18224	1.4280555502951935	2.4858232119606694E-4	8.286764058818008E-5	9.62135114912499E-4
GOTERM_CC_ALL	GO:0031224~intrinsic component of membrane	106	0.3591515890763705	9.494822753346542E-7	CADM3, SLC36A2, SLC52A1, SYT5, VTCN1, B3GALT5, GABRB2, LYPD8, EFNA2, SLC9A2, SYT3, L1CAM, SYT7, AQP6, SMIM5, ADAM7, ROS1, VNN2, PTPRH, SLC34A2, CWH43, SSTR5, RHCG, SLC9C2, OR7D2, ASB5, SLC2A12, GAL3ST3, TMEM213, FXYD4, CYSLTR2, ASTN1, NKAIN4, KCNS1, B3GNT6, MSLN, TMEM30B, SLC30A2, KLB, REEP2, ACPP, KCNJ5, GGT6, SLC4A11, FAM151A, SFRP1, CHRNB4, SLC13A2, MS4A10, SLC13A3, NAT8L, ADGRF1, CLSTN2, MFSD2A, LGR5, KCNJ13, INSRR, RDH8, SLN, GPC3, SMCO3, SCN7A, DPP6, CLMP, DMRT2, CES5A, OXGR1, HEPACAM2, MMP13, KLRG2, IL20RB, SLC26A7, GRM8, CHL1, CLDN16, AVPR2, RHBG, CLCNKB, GCGR, TPSG1, SLCO1A2, UGT1A8, HS6ST2, UGT2A1, VWC2, B4GALNT4, SLC4A9, ABCA13, TMPRSS2, MOGAT2, HS3ST3A1, TMC3, NTNG1, GJB3, MAL, FRZB, RHAG, PROM2, GRIA2, CYP26C1, CDH17, CFAP47, CDH19, UGT2B4, ATP6V0A4, CDH10	217	5981	18224	1.4883875744773967	3.360604040935078E-4	8.402569090526502E-5	0.0013007727685532267
GOTERM_BP_ALL	GO:0055067~monovalent inorganic cation homeostasis	12	0.04065867046147591	1.1410168254203633E-6	AVPR2, ATP6V1C2, SLC4A11, RHCG, SLC26A7, SLC9A2, SLC9C2, SCN7A, SLC4A9, ATP6V1B1, ATP6V0A4, ATP6V0D2	201	143	16792	7.010541697108861	0.0035854797771670555	0.0035854797771670555	0.0020655962056914667
