Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005576~extracellular region	42	0.1423053466151657	2.1750144067250597E-6	TF, ODAM, ADGRF1, OVCH2, MTRNR2L10, EFNA2, MTRNR2L1, ARSI, MMP7, PGLYRP1, HP, VTN, CCL7, CPN2, ISM1, LAMB3, ANGPTL8, COL7A1, SAA1, ITIH1, VWA5B1, PRSS3, SERPINC1, APOH, HRG, LBP, BRINP3, FGFBP1, SAA4, IGF2, FRZB, MMP13, COL4A6, HPR, LAMA1, WFDC12, SFRP1, INHBE, VSTM2L, PAPPA2, IGFBP1, MEGF6	217	1610	18224	2.1908234822680823	4.175160361431507E-4	4.175160361431507E-4	0.0027078910229572095
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	37	0.12536423392288404	1.033771106441563E-5	SLC2A12, AVPR2, CADM3, SLC52A1, FXYD4, GABRB2, CYSLTR2, RHBG, CLCNKB, MFSD2A, AQP6, LGR5, GCGR, KCNJ13, INSRR, TPSG1, RDH8, SLCO1A2, GPC3, SLC4A9, TMPRSS2, KLB, PTPRH, MAL, REEP2, RHAG, SLC34A2, SSTR5, SLC4A11, PROM2, RHCG, GRIA2, GRM8, SLC26A7, CHRNB4, SLC13A2, SLC13A3	217	1415	18224	2.195984432756347	0.001982882270090025	9.91933100683129E-4	0.012869839737839062
GOTERM_BP_DIRECT	GO:0007588~excretion	6	0.020329335230737954	7.289720293950978E-5	CLDN16, AVPR2, CLCNKB, AQP6, ATP6V1B1, ATP6V0A4	201	37	16792	13.54739814441307	0.0717959203813956	0.0717959203813956	0.1154324452030897
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	88	0.29816358338415666	9.707070489261782E-5	SLC36A2, ADGRF1, CLSTN2, SYT5, B3GALT5, VTCN1, GABRB2, SYT3, SLC9A2, L1CAM, MFSD2A, AQP6, SYT7, LGR5, KCNJ13, SLN, SMCO3, SMIM5, DPP6, ADAM7, ROS1, CLMP, DMRT2, CES5A, OXGR1, HEPACAM2, MMP13, SLC34A2, CWH43, SSTR5, IL20RB, KLRG2, RHCG, GRM8, SLC26A7, SLC9C2, OR7D2, ASB5, CHL1, CLDN16, GAL3ST3, AVPR2, TMEM213, CYSLTR2, RHBG, ASTN1, CLCNKB, NKAIN4, GCGR, UGT1A8, SLCO1A2, B3GNT6, HS6ST2, TMEM30B, UGT2A1, B4GALNT4, SLC30A2, ABCA13, MOGAT2, TMPRSS2, TMC3, KLB, HS3ST3A1, GJB3, MAL, REEP2, FRZB, RHAG, ACPP, KCNJ5, GGT6, PROM2, SLC4A11, GRIA2, FAM151A, CYP26C1, SFRP1, CDH17, CFAP47, CDH19, CHRNB4, SLC13A2, UGT2B4, SLC13A3, MS4A10, ATP6V0A4, CDH10, NAT8L	217	5163	18224	1.4314115592067271	0.01846585764756914	0.006193566958556107	0.12078730651109426
GOTERM_CC_DIRECT	GO:0005615~extracellular space	33	0.11181134376905875	1.253781097764865E-4	XDH, ODAM, TF, LYPD8, MMP7, HP, VTN, CCL7, GPC3, COL7A1, SAA2, SAA1, PPP1R1A, MSLN, PRSS3, SERPINC1, APOH, VWC2, LBP, TSKU, FGFBP1, CES5A, SAA4, IGF2, FRZB, MMP13, ACPP, LAMA1, SFRP1, INHBE, SPTBN2, SLPI, IGFBP1	217	1347	18224	2.0574548664210277	0.023786636474897205	0.0060004515217511045	0.15598558236427085
GOTERM_MF_DIRECT	GO:0015078~hydrogen ion transmembrane transporter activity	5	0.01694111269228163	4.913218844790682E-4	ATP6V1C2, SLC36A2, ATP6V1B1, ATP6V0A4, ATP6V0D2	197	32	16881	13.389118020304569	0.1756309315061575	0.1756309315061575	0.681373797625362
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	53	0.17957579453818526	5.56782073780289E-4	SLC36A2, GABRB2, PGLYRP1, MMP7, SULT2B1, HP, VTN, SYT7, GPC3, SAA2, PVALB, SAA1, ITIH1, APOH, LBP, DPP6, ATP6V0D2, HPD, CLMP, SAA4, ATP6V1C2, RHCG, AKR1B10, KRT15, SLPI, CA1, CHL1, TF, RAB3B, ATP6V1B1, CPN2, PRSS3, SERPINC1, HS6ST2, HRG, TMPRSS2, CPNE7, C16ORF89, IGF2, KLK1, REEP2, ACPP, HPR, GGT6, PROM2, SFRP1, FAM151A, PI3, SLC13A2, PAPPA2, SLC13A3, ZNF114, ATP6V0A4	217	2811	18224	1.5834304665509267	0.10141316212355289	0.02115931880770705	0.6909964411226044
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	71	0.24056380023039914	5.666407083376283E-4	CADM3, SLC36A2, ADGRF1, SYT5, GABRB2, EFNA2, LYPD8, SYT3, SLC9A2, L1CAM, MFSD2A, SYT7, LGR5, DIRAS1, GPC3, SCN7A, DPP6, ADAM7, ROS1, VNN2, CLMP, PIK3C2G, OXGR1, GRHL2, SLC34A2, SSTR5, RHCG, IL20RB, SLC26A7, GRM8, SLC9C2, OR7D2, CHL1, CLDN16, SLC2A12, AVPR2, RAB3B, FXYD4, CYSLTR2, RHBG, CLCNKB, NKAIN4, GCGR, KCNS1, SLCO1A2, INPP5J, SYN2, MSLN, SERPINC1, TMEM30B, HRG, SLC30A2, SLC4A9, FGFBP1, TMPRSS2, KLB, CPNE7, IGF2, RHAG, ACPP, KCNJ5, GRIA2, SFRP1, CDH17, PKP3, CDH19, CHRNB4, SLC13A2, SLC13A3, ATP6V0A4, CDH10	217	4121	18224	1.446903966085812	0.10311340463905261	0.017974144864165154	0.7031918732676945
GOTERM_MF_DIRECT	GO:0008201~heparin binding	9	0.030494002846106934	5.672014296057347E-4	SFRP1, SAA1, APOH, SERPINC1, MMP7, HRG, VTN, FGFBP1, CCL7	197	160	16881	4.820082487309644	0.19986386995276062	0.1054967132272574	0.786219930481391
GOTERM_BP_DIRECT	GO:0010951~negative regulation of endopeptidase activity	8	0.027105780307650606	6.152368224770071E-4	WFDC12, COL7A1, ITIH1, PI3, SERPINC1, SLPI, HRG, VTN	201	121	16792	5.52345709469183	0.4668569657071162	0.2698335571303734	0.9703141229117529
