Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Glycoprotein	104	0.3523751439994579	1.0843002517918587E-15	CADM3, SLC52A1, VTCN1, B3GALT5, GABRB2, OVCH2, LYPD8, EFNA2, SLC9A2, PGLYRP1, VTN, L1CAM, APOH, BRINP3, ADAM7, ROS1, VNN2, PTPRH, SLC34A2, CWH43, SSTR5, RHCG, SLC9C2, OR7D2, XDH, SLC2A12, ODAM, GAL3ST3, CYSLTR2, ASTN1, CCL7, LAMB3, VWA5B1, B3GNT6, MSLN, TMEM30B, KLB, C16ORF89, ACPP, LAMA1, GGT6, SLC4A11, SFRP1, CHRNB4, SLC13A3, PAPPA2, ADGRF1, CLSTN2, ARSI, HP, MFSD2A, LGR5, INSRR, GPC3, ITIH1, SCN7A, LBP, DPP6, TSKU, CLMP, SAA4, CES5A, OXGR1, HEPACAM2, MMP13, IL20RB, INHBE, GRM8, CHL1, AVPR2, TF, RHBG, CLCNKB, GCGR, CPN2, TPSG1, ISM1, COLGALT2, SLCO1A2, UGT1A8, COL7A1, SERPINC1, UGT2A1, HS6ST2, HRG, B4GALNT4, SLC4A9, FGFBP1, TMPRSS2, HS3ST3A1, TMC3, NTNG1, IGF2, KLK1, FRZB, RHAG, COL4A6, PROM2, GRIA2, CDH17, CDH19, UGT2B4, MEGF6, CDH10	224	4551	20581	2.099640581347898	2.8754776337791554E-13	2.8754776337791554E-13	1.454392162258955E-12
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	99	0.33543403130717625	4.128733418046948E-15	CADM3, VTCN1, B3GALT5, GABRB2, OVCH2, LYPD8, EFNA2, SLC9A2, PGLYRP1, L1CAM, VTN, APOH, BRINP3, ADAM7, ROS1, VNN2, PTPRH, SLC34A2, CWH43, SSTR5, RHCG, OR7D2, SLC9C2, XDH, SLC2A12, GAL3ST3, CYSLTR2, ASTN1, CCL7, LAMB3, VWA5B1, B3GNT6, MSLN, TMEM30B, KLB, ACPP, LAMA1, GGT6, SLC4A11, SFRP1, CHRNB4, SLC13A3, PAPPA2, ADGRF1, CLSTN2, ARSI, HP, LGR5, INSRR, GPC3, ITIH1, SCN7A, LBP, DPP6, TSKU, CLMP, CES5A, OXGR1, HEPACAM2, MMP13, IL20RB, INHBE, GRM8, CHL1, AVPR2, TF, RHBG, CLCNKB, GCGR, CPN2, TPSG1, ISM1, COLGALT2, SLCO1A2, UGT1A8, COL7A1, SERPINC1, UGT2A1, HS6ST2, HRG, B4GALNT4, SLC4A9, TMPRSS2, HS3ST3A1, TMC3, NTNG1, KLK1, FRZB, RHAG, HPR, COL4A6, PROM2, GRIA2, CDH17, CFAP47, CDH19, UGT2B4, MEGF6, CDH10	221	4234	20063	2.1226966786860086	2.9822810887480955E-12	2.9822810887480955E-12	6.228351168147128E-12
UP_SEQ_FEATURE	signal peptide	85	0.2879989157687877	1.4112597987968461E-14	CADM3, ADGRF1, SLC52A1, CLSTN2, VTCN1, GABRB2, OVCH2, EFNA2, LYPD8, ARSI, MMP7, PGLYRP1, HP, VTN, L1CAM, LGR5, INSRR, GPC3, SAA2, SAA1, ITIH1, APOH, LBP, BRINP3, ADAM7, ROS1, TSKU, VNN2, CLMP, PTPRH, CES5A, SAA4, HEPACAM2, MMP13, TNS4, WFDC12, IL20RB, INHBE, GRM8, SLPI, CHL1, TF, ODAM, FXYD4, ASTN1, GCGR, CCL7, CPN2, TPSG1, ISM1, LAMB3, ANGPTL8, COLGALT2, UGT1A8, COL7A1, VWA5B1, PRSS3, MSLN, SERPINC1, VWC2, UGT2A1, HRG, FGFBP1, NTNG1, C16ORF89, IGF2, KLK1, FRZB, HPR, COL4A6, ACPP, LAMA1, PROM2, GRIA2, SFRP1, CDH17, PI3, VSTM2L, CDH19, CHRNB4, UGT2B4, PAPPA2, IGFBP1, MEGF6, CDH10	221	3346	20063	2.306197986114304	1.0236478331648868E-11	5.118239165824434E-12	2.1371793224034263E-11
UP_KEYWORDS	Signal	95	0.3218811411533509	5.841356927084165E-14	CADM3, SLC52A1, ADGRF1, CLSTN2, VTCN1, GABRB2, OVCH2, EFNA2, LYPD8, ARSI, MMP7, PGLYRP1, HP, VTN, L1CAM, LGR5, INSRR, RDH8, GPC3, SAA2, SAA1, ITIH1, APOH, LBP, BRINP3, ADAM7, ROS1, TSKU, VNN2, CLMP, PTPRH, CES5A, SAA4, HEPACAM2, MMP13, TNS4, WFDC12, IL20RB, INHBE, GRM8, SLPI, CHL1, TF, ODAM, TMEM213, FXYD4, RHBG, ASTN1, NKAIN4, GCGR, CCL7, WT1, CPN2, TPSG1, ISM1, LAMB3, ANGPTL8, SLCO1A2, COLGALT2, UGT1A8, COL7A1, VWA5B1, MSLN, PRSS3, SERPINC1, VWC2, UGT2A1, HRG, FGFBP1, CYP2C9, NTNG1, C16ORF89, IGF2, KLK1, FRZB, HPR, COL4A6, ACPP, LAMA1, PROM2, GRIA2, SFRP1, CDH17, GFPT2, PI3, CDH19, BNC1, VSTM2L, CHRNB4, PLA2G4F, UGT2B4, PAPPA2, IGFBP1, MEGF6, CDH10	224	4160	20581	2.0982089199862637	1.5125012353678358E-11	7.562506176839179E-12	7.62834240219945E-11
UP_KEYWORDS	Secreted	55	0.18635223961509792	9.783577193409764E-11	ADGRF1, MTRNR2L10, LYPD8, OVCH2, MTRNR2L1, ARSI, PGLYRP1, MMP7, HP, VTN, GPC3, SAA2, SAA1, ITIH1, APOH, LBP, BRINP3, TSKU, SAA4, CES5A, MMP13, WFDC12, INHBE, AKR1B10, SLPI, CHL1, XDH, ODAM, TF, CPN2, CCL7, ISM1, LAMB3, ANGPTL8, COL7A1, VWA5B1, PRSS3, MSLN, SERPINC1, VWC2, HRG, FGFBP1, TMPRSS2, C16ORF89, IGF2, FRZB, ACPP, COL4A6, HPR, LAMA1, SFRP1, PI3, PAPPA2, IGFBP1, MEGF6	224	1965	20581	2.571689840058161	2.5339456199979793E-8	8.446485511015567E-9	1.2780496660980134E-7
UP_KEYWORDS	Ion transport	26	0.08809378599986448	3.512753320716107E-8	CLDN16, TF, FXYD4, GABRB2, SLC9A2, CLCNKB, ATP6V1B1, KCNJ13, KCNS1, SLCO1A2, SLC30A2, SCN7A, SLC4A9, ATP6V0D2, TMC3, SLC34A2, KCNJ5, ATP6V1C2, SLC4A11, GRIA2, SLC26A7, CHRNB4, SLC13A2, SLC13A3, SLC9C2, ATP6V0A4	224	642	20581	3.720975189141077	9.097989875694878E-6	2.2745052289385725E-6	4.588785615933233E-5
UP_SEQ_FEATURE	transmembrane region	91	0.30832825099952565	2.0839069390961587E-7	CADM3, SLC36A2, SLC52A1, ADGRF1, CLSTN2, SYT5, B3GALT5, VTCN1, GABRB2, SYT3, SLC9A2, L1CAM, MFSD2A, AQP6, SYT7, LGR5, KCNJ13, INSRR, RDH8, SLN, SMCO3, SCN7A, DPP6, ADAM7, ROS1, CLMP, PTPRH, OXGR1, HEPACAM2, SLC34A2, CWH43, SSTR5, IL20RB, KLRG2, RHCG, GRM8, SLC26A7, SLC9C2, OR7D2, CHL1, CLDN16, SLC2A12, GAL3ST3, AVPR2, FXYD4, TMEM213, CYSLTR2, RHBG, ASTN1, CLCNKB, NKAIN4, GCGR, TPSG1, KCNS1, UGT1A8, SLCO1A2, B3GNT6, HS6ST2, TMEM30B, UGT2A1, B4GALNT4, SLC30A2, SLC4A9, ABCA13, MOGAT2, TMPRSS2, TMC3, KLB, HS3ST3A1, GJB3, MAL, REEP2, RHAG, KCNJ5, GGT6, PROM2, SLC4A11, GRIA2, FAM151A, CYP26C1, CDH17, CFAP47, CDH19, CHRNB4, SLC13A2, UGT2B4, SLC13A3, MS4A10, ATP6V0A4, CDH10, NAT8L	221	5056	20063	1.6339468540580788	1.5128021554611237E-4	5.0429281585051555E-5	3.1579951061955214E-4
UP_KEYWORDS	Disulfide bond	69	0.2337873551534865	2.1620245798455146E-7	CADM3, GABRB2, VTCN1, OVCH2, EFNA2, SYT3, PGLYRP1, HP, VTN, L1CAM, LGR5, INSRR, ITIH1, APOH, LBP, DPP6, ADAM7, CLMP, PTPRH, CES5A, HEPACAM2, OXGR1, MMP13, SLC34A2, SSTR5, WFDC12, KLRG2, IL20RB, INHBE, GRM8, SLPI, OR7D2, CHL1, XDH, TF, CYSLTR2, ASTN1, GCGR, CCL7, CPN2, TPSG1, ISM1, LAMB3, SLCO1A2, COL7A1, PRSS3, MSLN, SERPINC1, HRG, SLC4A9, FGFBP1, TMPRSS2, HS3ST3A1, NTNG1, IGF2, KLK1, FRZB, HPR, ACPP, COL4A6, LAMA1, GRIA2, SFRP1, PI3, VSTM2L, CHRNB4, PAPPA2, IGFBP1, MEGF6	224	3434	20581	1.8461511461020053	5.599487488738841E-5	1.1199225819935599E-5	2.824296369996482E-4
UP_KEYWORDS	Transmembrane helix	96	0.32526936369180726	6.289882336416999E-7	CADM3, SLC36A2, SLC52A1, ADGRF1, CLSTN2, SYT5, B3GALT5, VTCN1, GABRB2, SYT3, SLC9A2, L1CAM, MFSD2A, AQP6, SYT7, LGR5, KCNJ13, INSRR, RDH8, SLN, SMCO3, SMIM5, SCN7A, DPP6, ADAM7, ROS1, CLMP, PTPRH, DMRT2, CES5A, OXGR1, HEPACAM2, MMP13, SLC34A2, CWH43, SSTR5, IL20RB, KLRG2, RHCG, GRM8, SLC26A7, SLC9C2, OR7D2, ASB5, CHL1, CLDN16, SLC2A12, GAL3ST3, AVPR2, FXYD4, TMEM213, CYSLTR2, RHBG, ASTN1, CLCNKB, NKAIN4, GCGR, TPSG1, KCNS1, UGT1A8, SLCO1A2, B3GNT6, HS6ST2, TMEM30B, UGT2A1, B4GALNT4, SLC30A2, SLC4A9, ABCA13, MOGAT2, TMPRSS2, TMC3, HS3ST3A1, KLB, GJB3, MAL, REEP2, RHAG, KCNJ5, GGT6, PROM2, SLC4A11, GRIA2, FAM151A, CYP26C1, CDH17, CFAP47, CDH19, CHRNB4, SLC13A2, UGT2B4, SLC13A3, MS4A10, ATP6V0A4, CDH10, NAT8L	224	5634	20581	1.5655712764338963	1.6289473494990325E-4	2.71509653622104E-5	8.216579862052598E-4
UP_KEYWORDS	Transmembrane	96	0.32526936369180726	7.280698508241578E-7	CADM3, SLC36A2, SLC52A1, ADGRF1, CLSTN2, SYT5, B3GALT5, VTCN1, GABRB2, SYT3, SLC9A2, L1CAM, MFSD2A, AQP6, SYT7, LGR5, KCNJ13, INSRR, RDH8, SLN, SMCO3, SMIM5, SCN7A, DPP6, ADAM7, ROS1, CLMP, PTPRH, DMRT2, CES5A, OXGR1, HEPACAM2, MMP13, SLC34A2, CWH43, SSTR5, IL20RB, KLRG2, RHCG, GRM8, SLC26A7, SLC9C2, OR7D2, ASB5, CHL1, CLDN16, SLC2A12, GAL3ST3, AVPR2, FXYD4, TMEM213, CYSLTR2, RHBG, ASTN1, CLCNKB, NKAIN4, GCGR, TPSG1, KCNS1, UGT1A8, SLCO1A2, B3GNT6, HS6ST2, TMEM30B, UGT2A1, B4GALNT4, SLC30A2, SLC4A9, ABCA13, MOGAT2, TMPRSS2, TMC3, HS3ST3A1, KLB, GJB3, MAL, REEP2, RHAG, KCNJ5, GGT6, PROM2, SLC4A11, GRIA2, FAM151A, CYP26C1, CDH17, CFAP47, CDH19, CHRNB4, SLC13A2, UGT2B4, SLC13A3, MS4A10, ATP6V0A4, CDH10, NAT8L	224	5651	20581	1.5608615415729201	1.8855238178183686E-4	2.693823144750418E-5	9.510894131148362E-4
GOTERM_CC_DIRECT	GO:0005576~extracellular region	42	0.1423053466151657	2.1750144067250597E-6	TF, ODAM, ADGRF1, OVCH2, MTRNR2L10, EFNA2, MTRNR2L1, ARSI, MMP7, PGLYRP1, HP, VTN, CCL7, CPN2, ISM1, LAMB3, ANGPTL8, COL7A1, SAA1, ITIH1, VWA5B1, PRSS3, SERPINC1, APOH, HRG, LBP, BRINP3, FGFBP1, SAA4, IGF2, FRZB, MMP13, COL4A6, HPR, LAMA1, WFDC12, SFRP1, INHBE, VSTM2L, PAPPA2, IGFBP1, MEGF6	217	1610	18224	2.1908234822680823	4.175160361431507E-4	4.175160361431507E-4	0.0027078910229572095
