baseMean log2FoldChange lfcSE stat pvalue padj
ABCA13 38.5274768190327 -2.20212102788805 0.590736579321784 -3.72775464559224 0.000193193320066743 0.014512977359875
ABCA17P 147.294460829809 -1.49676156058804 0.396069424641014 -3.77903838940524 0.0001574351539739 0.0128009747282397
ABCA4 125.211189944089 -1.81251300837202 0.438334329500438 -4.135001268182 3.54952675282104e-05 0.00465418250286564
ABCB5 33.5001969568404 -3.04528110554352 0.691350238813786 -4.4048312050468 1.0586627848788e-05 0.00216601636994615
ACOT12 21.1598298313492 -2.38113820867136 0.658276210055534 -3.61723266358127 0.000297769623813741 0.0194324464418042
ACPP 220.011554072789 -2.12226789173424 0.52155295952332 -4.0691321043867 4.71885873568815e-05 0.00567180604147851
ACSM1 103.156973919613 -1.11144594355276 0.335529743654083 -3.31251093106849 0.000924625126648161 0.0414940108386812
ACTL8 3.81823681330744 -3.70229785014597 1.08644538755539 -3.4077164784845 0.000655089226042912 0.0334265457675434
ADAM7 20.619286301964 -2.76857532528263 0.708804333517297 -3.90597968207128 9.38443973782947e-05 0.00894415655189165
ADGRB2 284.285551807352 -1.32135286801578 0.385464267795532 -3.42795163757355 0.000608153789366019 0.0320912371534971
ADGRF1 650.530985409575 -4.12339227573685 0.758882933244183 -5.43350244827561 5.5258525171966e-08 5.23583909081221e-05
ADH1B 1917.90552022221 -1.7120000219513 0.517627916710915 -3.30739507410961 0.000941679817124946 0.042006686275254
ADH1C 134.79948814912 -3.13031160969537 0.585692364996259 -5.344634481816 9.05996904554591e-08 6.75904932070296e-05
ADH4 9.59429990393187 -2.24432060605592 0.662241585808653 -3.38897564597278 0.000701542410114122 0.0348992759126972
ADRB1 27.1714224671275 -1.26702437970511 0.382330855282946 -3.31394749389883 0.000919887794146085 0.041375826250209
ALDH1A2 1159.11694297875 -1.91526837558461 0.481378185409442 -3.97871867408273 6.92876670096711e-05 0.0074209835433378
ALDH1A3 1073.61191540789 -1.58210239958406 0.398836041142842 -3.96679897596675 7.28443822459653e-05 0.00761346961300222
ALPI 811.650069547306 -2.21324552863918 0.618249948118628 -3.57985558328669 0.000343784150753162 0.0210106500043634
ALS2CL 914.649835424763 -1.13413714967202 0.318781192261391 -3.55772917977565 0.000374074689498989 0.0222950575958971
ALX1 26.9923368386546 -2.16062761943946 0.574265698746262 -3.76241803081143 0.000168278469495441 0.0134037022201188
ANGPTL1 304.416461013601 -1.56699369369188 0.451027790731337 -3.47427304014021 0.000512239501833852 0.0281276690918157
ANGPTL7 26.1720858925097 -2.05350249578539 0.60635973868736 -3.38660759408398 0.000707625227492567 0.0348992759126972
ANGPTL8 45.7601435353299 -2.36127351814709 0.511050105890819 -4.62043445628706 3.82937307916761e-06 0.00119424157223617
ANKRD2 75.5928286103361 -2.33760857733452 0.532638387358678 -4.38873470785044 1.14012045542632e-05 0.00223028263783646
APBA2 260.304751995613 -1.19736752546116 0.368886398101471 -3.2458977387716 0.00117080887707896 0.0486189060568202
APCDD1L 247.221004309974 -2.04236646435119 0.546727398115365 -3.73562120974999 0.000187252357007083 0.0143659742689654
APELA 21.1124252693233 -2.87170909314565 0.796482922491987 -3.60548733946589 0.000311567681372216 0.0198842678067489
APOC3 33.0375326413376 -2.85385979680495 0.770142563628485 -3.70562533689755 0.000210869819357058 0.0153092904086911
APOH 104.807531766893 -2.31796128017937 0.621242000806607 -3.73117283952112 0.000190590403356427 0.0145009438661424
AQP2 5930.61955067972 -3.85224089438254 1.1795407078204 -3.26588210889376 0.00109123669522228 0.0463829192556662
AQP4-AS1 31.5388252590784 1.1791554609353 0.337660588070626 3.4921323441179 0.000479180761901501 0.0267883095187053
AQP5 12.1434139458871 -2.02898185122214 0.558087718533071 -3.63559667027847 0.000277337965443125 0.0185191570443272
AQP6 260.544187691458 -2.68681646517566 0.692604706327373 -3.87929282118635 0.000104760583975206 0.00972744735752611
ARSI 64.8459965263151 -2.08665899348307 0.482222990359503 -4.32716613516796 1.51040038122779e-05 0.00270062084693084
ARX 40.6986543297949 -3.61461322207796 0.788851513197287 -4.58212117439898 4.60283034791295e-06 0.00126435254603985
ASB5 11.8395361234787 -2.58770613399003 0.585794988128801 -4.41742620956166 9.98831532248947e-06 0.00211860001962804
ASTN1 21.0315010677829 -1.5351669346724 0.410551701316229 -3.73927797583264 0.000184549564243165 0.014249939007873
ATP2B3 11.8303659392795 -2.02696271670482 0.619885884512528 -3.26989655249015 0.00107586821238255 0.045951374383216
