"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-mir-1269b" 22.1586318645227 -3.00071529659091 0.762274223575755 -3.93652993081 8.2668313774896e-05 0.00448062260659937
"hsa-mir-129-1" 8.10608023063702 -1.48647957042658 0.397752902183308 -3.73719352459061 0.000186085697889801 0.00650083957484878
"hsa-mir-129-2" 8.12171252185624 -1.13279544573181 0.383275935843911 -2.95556109787477 0.00312100874078506 0.035241390364698
"hsa-mir-141" 208.135259642343 -2.41116681264132 0.396968376685557 -6.073951866829 1.24800149816832e-09 2.60318483089855e-07
"hsa-mir-184" 4.34602326299167 -3.2174916205369 0.611943038268583 -5.2578286201938 1.45766263731131e-07 1.97513287355682e-05
"hsa-mir-187" 49.0607542211796 -1.27263193911889 0.347552296893824 -3.66169911835648 0.000250548015598151 0.00650083957484878
"hsa-mir-200c" 1083.06597750944 -2.23015605663232 0.368569336705891 -6.05084534856986 1.44087721267448e-09 2.60318483089855e-07
"hsa-mir-205" 8.24396053052152 -2.03927135228476 0.430042877485136 -4.74201866616253 2.11599122049092e-06 0.000229373448301216
"hsa-mir-206" 2.95588514723692 -1.62354607286215 0.511851122852782 -3.1719107380548 0.00151439546609772 0.0219802696654934
"hsa-mir-323a" 3.32223842127871 -1.30742989759646 0.321460736186389 -4.06715268902509 4.75910619584314e-05 0.00322429444768372
"hsa-mir-375" 327.092709045578 -1.13410989466462 0.315126378895605 -3.59890498104041 0.000319559913310499 0.00753049882670827
"hsa-mir-4484" 1.84685425188941 -1.44744647153869 0.446049640942904 -3.24503449544076 0.00117436396713552 0.0181858648624987
"hsa-mir-483" 5.96486633359132 -1.13494469541203 0.369168489561016 -3.07432710944969 0.00210977966576504 0.0272262042582059
"hsa-mir-487a" 1.30383229354317 -1.17571391372363 0.351260279775449 -3.34713026612411 0.000816528304031544 0.0142760755091967
"hsa-mir-506" 2.31306810547896 -2.09340021754299 0.699388660634703 -2.99318581408399 0.00276081604880825 0.0332524955212015
"hsa-mir-508" 74.017473197879 -1.10841818612566 0.292608356191978 -3.78806060274792 0.00015182782000725 0.00650083957484878
"hsa-mir-514a-1" 21.3193422475666 -1.19350759607502 0.332659346270846 -3.58777713433997 0.00033350916809273 0.00753174871276082
"hsa-mir-514a-2" 21.2209104457617 -1.17653304519282 0.338867989147664 -3.47195097463201 0.000516690685257106 0.0107710135157443
"hsa-mir-514a-3" 21.3366922305426 -1.1309900818205 0.335072287398169 -3.37536144992062 0.000737188005050185 0.0137777896116276
"hsa-mir-514b" 1.30680980989322 -2.59853827473168 0.887023748037041 -2.92950248567997 0.00339505097671864 0.0375534210077858
"hsa-mir-551b" 7.33483157625093 -1.22906353996668 0.309148344380844 -3.97564328681178 7.01892675881247e-05 0.00422695367030706
"hsa-mir-599" 5.8272917287005 -1.65146975590109 0.523750910879042 -3.15315872793296 0.00161513958167216 0.0219802696654934
"hsa-mir-891a" 260.410003887375 -3.81208159948814 0.569540220986558 -6.69326143970104 2.18250703641184e-11 1.18291881373522e-08
"hsa-mir-891b" 5.66970732093379 -4.49021685987249 1.03752476203115 -4.32781657286139 1.50594802276651e-05 0.00136037304723241
"hsa-mir-934" 1.74745054620728 -2.69845847435877 0.882692088900619 -3.05707789646066 0.00223506184687821 0.0281721749071626
