"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-let-7a-1" 21732.5654022985 -0.0396364970622239 0.0891948930156004 -0.444380790448298 0.656767299356752 0.999468981208449
"hsa-let-7a-2" 21690.9700209288 -0.0442285018226257 0.089295764109725 -0.495303470031104 0.620385921852558 0.999468981208449
"hsa-let-7a-3" 21834.7796745858 -0.04345323622254 0.0889426870828022 -0.488553220593467 0.625158038354967 0.999468981208449
"hsa-let-7b" 36197.7040431005 0.00674413998736014 0.0811752469724117 0.0830812376789221 0.933786944425757 0.999468981208449
"hsa-let-7c" 5221.45857976067 0.129678128660888 0.0954008891180508 1.35929685624232 0.174052539847278 0.999468981208449
"hsa-let-7d" 1443.55257967104 0.0698643322238118 0.0540679960181734 1.29215686485456 0.196302826358592 0.999468981208449
"hsa-let-7e" 3202.55710137274 0.0333065792861176 0.109538275100789 0.304063390221102 0.761079597480852 0.999468981208449
"hsa-let-7f-1" 11970.5254968774 -0.0984829112762833 0.155951263464849 -0.631498001928538 0.527714955267729 0.999468981208449
"hsa-let-7f-2" 12170.2067939958 -0.0978908055278951 0.156595008532841 -0.625120854394065 0.531891741703154 0.999468981208449
"hsa-let-7g" 1654.40647975979 0.192699011821582 0.0851989617081744 2.261753053771 0.023712664846722 0.999468981208449
"hsa-let-7i" 1258.83979468889 -0.0803481341993856 0.063095124291955 -1.27344442381312 0.202860382002957 0.999468981208449
"hsa-mir-1-1" 16.7542208332545 -0.134323465007678 0.19683407037918 -0.682419790176149 0.494973545459369 0.999468981208449
"hsa-mir-1-2" 17.7098334661964 -0.109126636711202 0.195822005745597 -0.557274634664782 0.57733980342427 0.999468981208449
"hsa-mir-100" 10850.5429867021 0.299767164554782 0.137291864917302 2.18342991214626 0.029004165152592 0.999468981208449
"hsa-mir-101-1" 17294.671202567 -0.0359347347308037 0.0890678971865067 -0.403453274029328 0.686614802261707 0.999468981208449
"hsa-mir-101-2" 17340.7847625432 -0.0386569767959464 0.0888523160005205 -0.435069996326488 0.663511620969277 0.999468981208449
"hsa-mir-103a-1" 14879.0811658806 -0.0816662973384039 0.0797059624480146 -1.02459458276623 0.305554521676778 0.999468981208449
"hsa-mir-103a-2" 14891.8493741959 -0.081009416987611 0.079589014673082 -1.01784671314708 0.308750808492323 0.999468981208449
"hsa-mir-105-1" 0.631894940162767 -1.16775282395588 0.559828225434397 -2.0859127334099 0.0369865286460082 0.999468981208449
"hsa-mir-105-2" 0.691822323148404 -1.16895719797532 0.544949428191648 -2.14507463904379 0.031946879777418 0.999468981208449
"hsa-mir-106a" 46.5207443319609 0.208045914598301 0.106349994728281 1.95623812798344 0.0504371089449092 0.999468981208449
"hsa-mir-106b" 784.817145121281 -0.0126076363756569 0.0658224371839602 -0.191540102661668 0.848102464724898 0.999468981208449
"hsa-mir-107" 130.520334522699 0.0291536875269134 0.0686198899036026 0.424857684380849 0.670940423649755 0.999468981208449
"hsa-mir-10a" 103267.771212703 0.244140513862243 0.143912034702162 1.69645654977718 0.0897994521040779 0.999468981208449
"hsa-mir-10b" 532948.825237072 -0.14115383621279 0.114453993262996 -1.23328013456414 0.217471266842943 0.999468981208449
"hsa-mir-1178" 0.010734268571519 0.156839812057066 3.77379279673776 0.0415602605931745 0.966849253304637 0.999468981208449
"hsa-mir-1179" 0.4072131761906 0.23207287784521 0.286469676920334 0.810113238999981 0.41787509599502 0.999468981208449
"hsa-mir-1180" 21.8991688201221 0.103010387976903 0.13034983217124 0.790260994287882 0.429375361404598 0.999468981208449
"hsa-mir-1181" 0.274721582276771 -0.131263756097733 0.32614525305316 -0.402470233335995 0.687337990859435 0.999468981208449
"hsa-mir-1182" 0.00244234549075411 0.188263130860207 4.52180284374596 0.0416345288297103 0.966790047071079 0.999468981208449
"hsa-mir-1185-1" 0.233137515403605 0.136173151159318 0.474041861480534 0.28725975957908 0.773913431932452 0.999468981208449
"hsa-mir-1185-2" 0.148396705837698 0.15853491814645 0.635990691999824 0.249272387380307 0.803150088967907 0.999468981208449
"hsa-mir-1193" 0.00235079627556713 0.144433541880958 4.52180406112006 0.0319415746301005 0.974518643781113 0.999468981208449
