"TCGA-CW-5587-11A" "TCGA-CJ-5680-11A" "TCGA-CZ-4865-11A" "TCGA-CZ-5470-11A" "TCGA-B0-5690-11A" "TCGA-CW-5580-11A" "TCGA-A3-3358-11A" "TCGA-CJ-5681-11A" "TCGA-B0-5691-11A" "TCGA-CZ-5982-11A" "TCGA-CZ-5465-11A" "TCGA-B0-5712-11A" "TCGA-CJ-5677-11A" "TCGA-B0-5709-11A" "TCGA-CZ-5467-11A" "TCGA-CZ-4863-11A" "TCGA-B8-5552-11A" "TCGA-B8-4620-11A" "TCGA-B0-5705-11A" "TCGA-B8-A7U6-01A" "TCGA-AK-3450-01A" "TCGA-A3-A8CQ-01A" "TCGA-AK-3465-01A" "TCGA-DV-5569-01A" "TCGA-B2-4098-01A" "TCGA-BP-4770-01A" "TCGA-BP-5176-01A" "TCGA-BP-4326-01A" "TCGA-CZ-4866-01A" "TCGA-CJ-4637-01A" "TCGA-A3-3349-01A" "TCGA-B0-5085-01A" "TCGA-BP-4763-01A" "TCGA-B0-5713-01A" "TCGA-A3-3320-01A" "TCGA-B0-5104-01A" "TCGA-BP-4330-01A" "TCGA-AK-3455-01A" "TCGA-CZ-4865-01A" "TCGA-BP-4162-01A" "TCGA-CJ-4886-01A" "TCGA-B0-4945-01A" "TCGA-B8-A54H-01A" "TCGA-CZ-4863-01A" "TCGA-AK-3444-01A" "TCGA-A3-3362-01A" "TCGA-B8-5552-01B" "TCGA-CJ-4873-01A" "TCGA-G6-A8L7-01A" "TCGA-B0-5707-01A" "TCGA-CJ-4897-01A" "TCGA-BP-5186-01A" "TCGA-AK-3465-01A.1" "TCGA-A3-3374-01A" "TCGA-B0-5096-01A" "TCGA-A3-3331-01A" "TCGA-B8-4151-01A" "TCGA-CJ-6032-01A" "TCGA-BP-4983-01A" "TCGA-BP-4795-01A" "TCGA-B0-4838-01A" "TCGA-BP-4335-01A" "TCGA-B0-5400-01A" "TCGA-BP-4327-01A" "TCGA-BP-5181-01A" "TCGA-BP-4756-01A" "TCGA-B0-4697-01A" "TCGA-B0-5692-01A" "TCGA-AK-3453-01A" "TCGA-CJ-5680-01A" "TCGA-CJ-4904-01A" "TCGA-BP-4972-01A" "TCGA-CJ-4643-01A" "TCGA-B0-5119-01A" "TCGA-BP-4981-01A" "TCGA-CW-5580-01A" "TCGA-CJ-5677-01A" "TCGA-EU-5904-01A" "TCGA-A3-A8OU-01A" "TCGA-DV-5575-01A" "TCGA-B0-5709-01A" "TCGA-B0-4821-01A" "TCGA-B0-5098-01A" "TCGA-CW-5583-01A" "TCGA-A3-3373-01A" "TCGA-B0-5120-01A" "TCGA-EU-5905-01A" "TCGA-AK-3431-01A" "TCGA-CJ-4892-01A" "TCGA-DV-5576-01A" "TCGA-CJ-4893-01A" "TCGA-B0-5099-01A" "TCGA-CJ-4878-01A" "TCGA-CJ-5681-01A" "TCGA-CJ-4920-01A" "TCGA-BP-5177-01A" "TCGA-B0-4827-01A" "TCGA-B8-5551-01A" "TCGA-CZ-5470-01A" "TCGA-BP-5001-01A" "TCGA-A3-3347-01A" "TCGA-A3-3374-01A.1" "TCGA-B0-5110-01A" "TCGA-CW-5588-01A" "TCGA-CJ-4870-01A" "TCGA-B0-5712-01A" "TCGA-6D-AA2E-01A" "TCGA-B0-5081-01A" "TCGA-AK-3429-01A" "TCGA-BP-5174-01A" "TCGA-CZ-5467-01A" "TCGA-B8-5163-01A" "TCGA-B0-4710-01A" "TCGA-BP-4987-01A" "TCGA-A3-3385-01A" "TCGA-CJ-4900-01A" "TCGA-CZ-5465-01A" "TCGA-BP-4325-01A" "TCGA-B8-4620-01A" "TCGA-B0-4818-01A" "TCGA-B0-4713-01A" "TCGA-B4-5377-01A" "TCGA-B0-4842-01A" "TCGA-BP-4355-01A" "TCGA-A3-3308-01A" "TCGA-CZ-4859-01A" "TCGA-B0-5102-01A" "TCGA-BP-4775-01A" "TCGA-BP-4969-01A" "TCGA-BP-4164-01A" "TCGA-A3-3308-01A.1" "TCGA-B0-5113-01A" "TCGA-B8-A54F-01A" "TCGA-B8-5553-01A" "TCGA-B0-4824-01A" "TCGA-BP-4340-01A" "TCGA-GK-A6C7-01A" "TCGA-MW-A4EC-01A" "TCGA-B8-5546-01A" "TCGA-A3-3370-01A" "TCGA-B0-4852-01A" "TCGA-CJ-4923-01A" "TCGA-B8-A8YJ-01A" "TCGA-B0-5092-01A" "TCGA-AK-3444-01A.1" "TCGA-CJ-4891-01A" "TCGA-CJ-6033-01A" "TCGA-B4-5844-01A" "TCGA-AK-3453-01A.1" "TCGA-B4-5836-01A" "TCGA-CJ-4884-01A" "TCGA-A3-A6NL-01A" "TCGA-CJ-4905-01A" "TCGA-B8-4146-01B" "TCGA-B0-5691-01A" "TCGA-B0-4819-01A" "TCGA-CJ-4889-01A" "TCGA-DV-5566-01A" "TCGA-B0-5695-01A" "TCGA-BP-4766-01A" "TCGA-B4-5835-01A" "TCGA-DV-5567-01A" "TCGA-A3-3331-01A.1" "TCGA-BP-4787-01A" "TCGA-B0-5690-01A" "TCGA-CJ-4641-01A" "TCGA-T7-A92I-01A" "TCGA-CJ-4634-01A" "TCGA-B0-5097-01A" "TCGA-CJ-4644-01A" "TCGA-G6-A5PC-01A" "TCGA-BP-4169-01A" "TCGA-B0-5693-01A" "TCGA-A3-3358-01A" "TCGA-A3-A8OX-01A" "TCGA-BP-4782-01A" "TCGA-BP-4768-01A" "TCGA-B0-5107-01A" "TCGA-BP-4351-01A" "TCGA-B0-4701-01A" "TCGA-MM-A84U-01A" "TCGA-B0-5075-01A" "TCGA-BP-4337-01A" "TCGA-B0-4693-01A" "TCGA-BP-4163-01A" "TCGA-CJ-5686-01A" "TCGA-CJ-4639-01A" "TCGA-BP-4165-01A" "TCGA-B8-5159-01A" "TCGA-BP-4352-01A" "TCGA-B0-5705-01A" "TCGA-B0-4833-01A" "TCGA-B8-A54E-01A" "TCGA-B0-4839-01A" "TCGA-A3-3320-01A.1" "TCGA-CW-5587-01A" "TCGA-B8-4154-01A" "TCGA-CZ-5982-01A" "TCGA-AK-3433-01A" "TCGA-CJ-4638-01A" "TCGA-B8-4148-01A" "TCGA-BP-4344-01A" "TCGA-B8-4143-01A" "TCGA-CZ-4856-01A" "TCGA-CJ-4916-01A" "TCGA-G6-A8L8-01A" "TCGA-A3-A6NJ-01A"
"hsa-mir-1-2" 21 34 40 167 24 32 72 10 27 19 17 693 17 22 50 20 133 66 19 23 7 19 18 31 1 3 4 4 1 4 7 5 8 19 2 0 10 5 12 3 3 22 58 20 7 6 323 3 5 40 15 5 54 16 1 1 1 10 1 56 10 2 25 0 1 1 12 9 1 19 3 29 7 8 5 11 13 20 4 24 80 22 3 41 6 7 42 23 17 14 7 0 6 1 4 17 6 2 30 2 10 5 3 35 16 6 132 3 5 6 51 5 2 9 2 9 15 3 1 21 25 13 5 12 17 1 0 5 4 4 11 3 9 3 1 1 33 2 4 12 6 14 23 4 7 8 9 21 1 28 12 13 12 5 139 51 18 10 11 3 1 16 3 11 11 9 7 5 5 8 16 27 6 11 202 7 1 0 2 13 38 2 49 1 20 13 0 2 8 0 10 2 2 5 2 22 3 2 0 9 5 3 0 6 3 10 11
"hsa-mir-1248" 2 3 3 0 0 1 9 2 0 2 0 1 1 5 1 1 4 4 2 1 1 1 1 4 2 3 2 0 2 1 3 3 2 2 1 2 2 12 2 1 1 3 0 1 1 0 2 3 3 0 2 1 11 2 4 0 0 1 7 3 2 2 16 0 2 0 2 2 0 0 3 1 0 1 9 2 2 1 0 2 0 12 48 0 0 2 0 2 2 0 1 0 2 0 2 1 0 2 10 12 1 5 0 1 1 1 7 8 0 3 2 4 0 1 0 1 4 0 1 1 8 2 8 1 1 1 2 2 1 2 0 2 0 2 3 0 0 4 0 2 2 3 2 7 2 3 3 0 1 0 4 2 2 0 2 13 6 1 2 0 0 0 0 13 1 1 0 0 0 0 4 1 2 1 4 4 0 3 6 0 7 2 2 2 1 4 0 5 2 18 1 4 0 1 1 1 0 0 0 11 0 2 1 2 2 1 3
"hsa-mir-1255a" 0 1 0 0 0 3 0 1 1 0 0 2 1 0 2 0 1 1 0 1 2 2 0 4 0 0 1 0 0 0 0 1 1 0 3 0 0 0 0 0 2 1 2 1 0 0 1 1 0 0 1 0 5 0 0 2 0 1 0 0 0 0 3 0 1 0 1 0 0 1 0 0 2 0 1 0 1 0 2 1 1 3 1 2 0 1 0 2 0 1 0 0 1 5 0 0 0 4 0 5 1 1 1 0 1 1 0 1 4 1 0 0 0 0 2 1 0 1 0 0 0 0 0 0 0 0 2 1 1 0 0 1 3 0 0 1 2 0 0 0 3 2 4 0 1 1 1 3 2 0 0 1 0 1 1 1 0 1 4 1 0 2 1 3 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 0 1 0 0 2 2 0 0 0 3 0
"hsa-mir-129-2" 52 48 188 45 12 41 86 19 18 13 38 13 12 15 70 1105 173 20 23 5 10 2 8 1 0 0 0 4 1 0 0 4 0 115 2 0 1 0 0 2 1 7 0 0 0 2 0 2 1 0 4 0 65 3 0 0 0 6 0 1 0 3 2 0 1 0 0 2 1 4 0 3 4 0 2 2 0 3 57 1 0 1 0 8 1 0 4 9 2 3 7 4 1 1 1 2 0 1 1 7 2 2 3 2 26 0 5 1 0 0 7 2 8 1 1 1 4 0 0 3 3 16 0 9 2 0 0 0 0 1 1 1 2 0 3 2 6 2 0 0 4 3 7 0 1 1 1 3 1 3 4 4 2 1 11 8 3 0 2 0 2 4 0 0 0 2 0 2 1 2 3 10 1 1 38 1 0 0 0 0 4 0 0 0 1 0 0 4 0 0 17 2 1 3 0 0 0 1 17 1 0 3 1 2 1 2 1
"hsa-mir-1295a" 2 1 1 5 0 0 3 0 2 0 1 0 0 0 2 0 0 0 2 5 2 11 0 1 2 3 3 0 0 0 1 1 0 2 3 1 1 1 1 1 0 0 2 0 1 3 3 1 0 1 2 0 1 0 0 2 0 0 1 1 2 5 1 1 0 12 1 4 0 1 6 5 1 2 6 1 1 9 1 1 1 4 1 2 0 2 0 2 2 0 1 5 2 7 1 0 0 0 6 3 1 0 2 1 6 0 41 0 3 0 4 0 6 1 1 6 5 1 3 0 0 2 0 3 2 1 0 0 2 5 0 2 1 1 1 6 8 2 4 2 7 0 0 3 0 1 0 2 0 3 0 1 0 3 3 0 2 7 7 1 7 0 3 2 1 0 48 4 0 1 2 1 4 5 10 2 1 0 0 3 4 2 1 1 2 0 1 2 2 0 2 1 3 0 2 2 1 0 0 6 1 1 0 0 2 3 3
"hsa-mir-141" 688 663 1919 1157 450 592 1226 357 302 349 3461 367 253 377 1413 3081 3640 347 1326 44 15 15 2200 6 5 12 14 5 6 4 7 11 19 6 3 2 17 8 0 14 4 47 16 13 6 59 23 4 17 24 9 8 16897 3043 44 2 1 14 23 901 7 15 25 7 3 2 16 20 1 38 7 17 3 4 7 10 5 13 20 6 76 19 38 17 35 6 7 8 10 15 7 9 6 6 9 3 11 31 11 3 9 2291 11 9 5 12 26 17 8 7 8 7 13 1 5 21 11 3 4 9 3 13 6 2 12 3 3 25 22 8 5 25 14 6 0 9 12 7 0 13 11 44 17 10 4 7 7 2 6 5 6 6 1 1 209 35 11 18 6 4 26 1105 2 8 5 10 23 2 11 2 22 17 3 27 421 6 2 17 12 9 29 15 5 3 47 8 6 9 9 6 22 1 6 4 6 10 8 3 4216 12 13 6 4 43 3 21 11
"hsa-mir-144" 239 91 50 404 151 307 2428 287 79 159 246 1330 202 334 663 79 1709 155 165 29049 785 3013 296 2484 1057 23 1672 522 482 168 192 412 358 713 382 553 282 522 419 531 590 2989 920 857 750 1451 3267 695 1144 42 909 590 2046 553 304 333 261 260 43 135 270 427 189 355 74 2344 222 339 1344 148 731 1446 570 497 551 144 50 1422 1599 2283 968 658 743 371 1210 4353 334 472 859 207 441 335 546 219 203 459 525 2373 217 912 108 414 1096 444 948 291 1714 123 791 670 540 162 3070 1831 184 1038 358 243 1768 1072 309 1767 83 280 321 688 1761 681 1423 129 182 614 569 3657 211 2049 595 1833 645 1185 1616 310 26337 303 1556 1237 641 311 1628 635 962 525 376 1606 620 695 1891 721 536 950 518 663 536 1101 1292 249 324 6360 570 141 1010 341 979 1057 10625 10487 510 131 342 576 296 4367 318 3101 146 908 308 408 233 26 330 416 289 462 349 420 649 141 467 437 275 2794 313 692 227 1634 771
"hsa-mir-199b" 5885 15620 4371 6222 3253 3370 11567 5012 6701 2126 5519 11383 3292 5987 4126 6018 12292 7046 7409 3737 1560 5123 4356 2703 230 34134 1644 482 532 1481 4499 969 1670 755 1926 564 1331 1208 1952 1257 1510 1864 3657 1755 588 4744 8933 451 1221 1102 1892 3645 26821 685 834 1211 670 768 754 5331 930 803 2527 406 1496 98 3155 1901 320 2783 2402 1837 3296 1610 355 1198 2477 2685 2290 3503 8615 2753 1035 2279 1302 2891 1226 6898 2476 3028 756 375 941 1539 1916 4459 2142 1377 704 1124 4222 462 2779 3852 761 912 10225 1164 973 1028 3998 3960 2242 1378 476 1213 407 548 1192 2277 1974 1605 1969 2457 8032 681 438 756 2004 1617 3502 1122 1359 1865 520 673 3566 1185 202 2622 638 5711 7598 852 997 926 1192 1031 1538 1744 859 2618 5337 232 9867 4175 4216 1879 1570 633 738 1182 1359 3571 1268 2076 1411 1216 2089 1504 1480 2847 1983 1266 10475 1777 321 59 1708 1494 3555 359 4107 529 2630 1021 664 1784 715 1434 2767 301 209 618 1347 2609 786 751 219 1565 1865 2781 2207 1541 885 1756 2855
"hsa-mir-200c" 3597 4901 11208 7308 3471 3764 7553 2158 2927 2919 19084 2478 1462 2007 8545 23090 20240 2369 9038 356 83 172 8428 29 28 48 75 28 64 38 5 71 119 55 12 49 126 20 26 55 26 296 160 70 21 455 109 36 128 127 75 26 46355 12585 289 16 35 44 128 4892 47 57 58 25 21 42 37 108 9 220 37 119 25 42 127 45 35 86 178 40 620 115 247 88 197 67 43 51 86 151 48 46 65 47 47 31 50 221 126 85 138 5071 73 59 131 89 187 139 71 41 50 41 96 14 47 130 97 23 13 54 44 79 45 24 34 17 30 163 110 72 46 130 126 36 22 162 103 63 5 69 85 235 133 83 24 43 44 16 16 111 68 74 28 20 1546 147 75 95 39 33 235 9342 34 44 38 57 203 18 36 35 156 133 36 124 3906 52 27 114 145 50 188 104 48 28 198 45 31 38 83 76 166 27 44 27 18 119 37 25 11647 59 92 32 26 180 31 146 79
"hsa-mir-205" 7 16 563 8 8 6 10 1 6 2 15 10 5 5 139 391 2378 15 142 4 2 34 1 0 12 5 0 1 233 0 1 3 1 1 0 1 0 0 0 0 0 3 9 0 0 1 30 21 29 8 0 0 30 4 9 0 1 0 5 54 0 6 4 0 0 0 0 0 1 17 0 4 0 0 0 0 167 0 30 0 43 12 2 9 0 3 0 1 0 2 2 0 1 2 0 1 1 4 9 0 2 7 0 0 0 0 36 2 0 1 3 0 2 0 0 313 1 1 1 1 1 2 4 0 9 3 1 2 0 1 0 0 1 1 0 0 2 0 1 0 0 3 33 1 1 6 1 0 0 0 1 1 0 2 8 54 0 11 2 0 4 0 0 2 0 0 29 0 6 0 22 3 1 6 14 4 2 321 0 3 137 0 1 0 6 1 0 1 1 2 0 1 0 0 0 1 0 0 9 3 9 1 0 124 0 32 0
