"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-let-7a-1" 21605.2088043923 0.0547576780901871 0.172044006137763 0.318277162450753 0.750274706027272 0.877010298261609
"hsa-let-7a-2" 21570.1971023758 0.0563597974955864 0.172513034738169 0.326698777174295 0.743895725220359 0.873488419432955
"hsa-let-7a-3" 21743.832555755 0.0590496080219111 0.171846629981661 0.343618074024569 0.731133530406131 0.860449665035787
"hsa-let-7b" 35688.2570559139 -0.282301282073341 0.153229121345791 -1.84234745715389 0.0654243421712841 0.261373687970593
"hsa-let-7c" 5140.12503549872 -0.174227626974201 0.186438326166009 -0.934505423627673 0.350043239602165 0.599579014368064
"hsa-let-7d" 1450.28616938493 0.00786184762518943 0.1087648451479 0.0722829845847598 0.942376705606207 0.980147315049341
"hsa-let-7e" 3190.77279069109 0.397744742429996 0.204037572729852 1.94937009448066 0.0512512432355327 0.235392878223376
"hsa-let-7f-1" 11586.5181133741 0.319486644852094 0.2932307172516 1.08954016771021 0.275915751656637 0.514891408044178
"hsa-let-7f-2" 11782.0502800321 0.321114779972603 0.293904229423114 1.09258305197887 0.274576907274113 0.514891408044178
"hsa-let-7g" 1519.51180551981 0.209029189233519 0.152408840879409 1.37150304422897 0.170218195188053 0.412818893937381
"hsa-let-7i" 1192.2393864346 0.0616151669460939 0.117707286262334 0.523460941991069 0.600653524487727 0.795253008186557
"hsa-mir-1-1" 13.2857911699916 -0.909516293844368 0.375942458960612 -2.4192965496873 0.0155505569341751 0.110616622880662
"hsa-mir-1-2" 13.8480044429543 -1.21908094437844 0.375360297173158 -3.24776209300597 0.00116316482533943 0.0219191692904703
"hsa-mir-100" 7834.60142174785 -0.360729023031717 0.277105777956522 -1.30177373309161 0.192993745557898 0.42988735598519
"hsa-mir-101-1" 18048.6753931178 -0.106486018772353 0.172927232178928 -0.615785133611409 0.538036340440935 0.754741851066887
"hsa-mir-101-2" 18095.5043739376 -0.10665550671053 0.173213657377553 -0.615745365147815 0.538062591319361 0.754741851066887
"hsa-mir-103a-1" 14864.3311225346 0.498370806393819 0.160049321113471 3.11385767166414 0.0018465854347567 0.0309154142141525
"hsa-mir-103a-2" 14882.2219120653 0.488352023772932 0.159569693931983 3.06043091102934 0.00221018746578936 0.0340080669767168
"hsa-mir-106a" 44.6240590106406 0.2743362509706 0.2040402829715 1.34452004758746 0.178780278088839 0.420651582571066
"hsa-mir-106b" 734.182387875286 -0.246811872270256 0.108126575583806 -2.28261989189659 0.0224527681989543 0.132420303355196
"hsa-mir-107" 132.521194177548 0.362812210727737 0.145495820783174 2.49362633768306 0.0126445577055136 0.0979481410322617
"hsa-mir-10a" 102067.194464574 0.399251307966651 0.263304908354823 1.51630788222387 0.129441519477921 0.353579729521268
"hsa-mir-10b" 491273.80250627 0.152383918303885 0.212950098550601 0.715585103463454 0.474247574521449 0.718082584822564
"hsa-mir-1180" 23.5349472004899 0.425797253242787 0.241640610273906 1.76210965847228 0.078050771747433 0.289345360977984
"hsa-mir-122" 47.3858189292475 0.0999970882587585 0.446642300042401 0.223886291668446 0.822845782660357 0.892922606257758
"hsa-mir-1224" 0.649416588937925 -0.171148788370668 0.715249068501156 -0.239285580237552 0.810884145981275 0.892651262168703
"hsa-mir-1226" 2.21386098503791 0.0538282827699816 0.332480572972088 0.161899031539809 0.871385365477254 0.930387408357413
"hsa-mir-1228" 2.06028432098225 -0.420061717633419 0.379290324637115 -1.10749389148092 0.268080451870356 0.513816547356925
"hsa-mir-1229" 2.25107433120189 0.336057917665567 0.307715392096111 1.09210629788907 0.274786381567597 0.514891408044178
"hsa-mir-1245a" 1.08594652698048 -0.412144597316203 0.546677007455813 -0.753908782873983 0.450903996405734 0.707006568382404
"hsa-mir-1247" 24.7147911924768 -0.72336626796066 0.414978966938004 -1.74313959403327 0.0813092338963817 0.291030982015325
"hsa-mir-1248" 2.81290771337043 -1.57926247063008 0.535710425728798 -2.94797785292605 0.00319859979117666 0.0386063556190857
"hsa-mir-1249" 3.58121904384005 -0.244051391447811 0.27531842274965 -0.886433203453767 0.375384133627754 0.626598180840698
"hsa-mir-1251" 26.1294674298373 -0.583142569127121 0.535956433818156 -1.08804099052009 0.276577012180935 0.514891408044178
"hsa-mir-1255a" 0.690812778156057 -1.62639369395395 0.544370802966757 -2.98765783376017 0.00281124095502733 0.0364758513914797
"hsa-mir-125a" 2381.94818195708 0.056830483220557 0.148878831664357 0.381723060190852 0.70266679347874 0.84222647994334
"hsa-mir-125b-1" 599.685633332721 -0.371646359192668 0.227290587199234 -1.63511548706106 0.102024840177388 0.322871293000391
"hsa-mir-125b-2" 644.704441267659 -0.319218424507269 0.224173595708838 -1.42397869605427 0.154452639165541 0.394881377965103
