"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "regulation"
"hsa-mir-1-2" 13.8480044429543 -1.21908094437844 0.375360297173158 -3.24776209300597 0.00116316482533943 0.0219191692904703 -1
"hsa-mir-1248" 2.81290771337043 -1.57926247063008 0.535710425728798 -2.94797785292605 0.00319859979117666 0.0386063556190857 -1
"hsa-mir-1255a" 0.690812778156057 -1.62639369395395 0.544370802966757 -2.98765783376017 0.00281124095502733 0.0364758513914797 -1
"hsa-mir-129-2" 4.94249975537195 -1.90239949894519 0.624280786485895 -3.04734590608479 0.00230871864446014 0.0342349993278518 -1
"hsa-mir-1295a" 1.91446722529704 1.43666225451501 0.361536574658287 3.97376740063685 7.07446524203012e-05 0.00282434420047203 1
"hsa-mir-141" 68.6060622556778 -2.98074476682185 0.563808130139615 -5.28680699599655 1.24469844061022e-07 1.29199698135341e-05 -1
"hsa-mir-144" 953.700756100906 1.41678838628656 0.332521789074026 4.26073849245154 2.03752528075077e-05 0.00117497291189961 1
"hsa-mir-199b" 2436.48984834441 -1.00115506484607 0.27994686758442 -3.57623242397654 0.00034858175807375 0.00916741751881272 -1
"hsa-mir-200c" 624.029768656417 -3.4046900365441 0.563838355622374 -6.03841509289652 1.5563528393664e-09 5.0150663287216e-07 -1
"hsa-mir-205" 9.50129106426183 -2.14734624436781 0.750628713946742 -2.86073021784265 0.00422666553783901 0.0438727882827689 -1
"hsa-mir-20b" 82.1400980961654 1.01552996192846 0.293480351306698 3.46029966710513 0.000539574554497143 0.0127290542629099 1
"hsa-mir-214" 20.7014804430827 -1.13422334356325 0.320670661115315 -3.53703497419544 0.000404646077875436 0.0100005387817786 -1
"hsa-mir-221" 237.600701377801 -1.11074157997984 0.267944876665219 -4.14541077927623 3.39205061443049e-05 0.00160043115353584 -1
"hsa-mir-33a" 26.1143170795297 -1.27439556768277 0.314728970003819 -4.04918418430724 5.13964842526193e-05 0.00222289794392578 -1
"hsa-mir-346" 0.680921130543523 1.80362653089662 0.596016360535822 3.02613594243478 0.00247700909581294 0.0347450735331599 1
"hsa-mir-375" 216.776746689519 -1.35631551726819 0.456534353442328 -2.97089475751692 0.00296933516823124 0.0375874378612686 -1
"hsa-mir-451a" 2734.41782024874 1.26615853723045 0.344114159689424 3.67947235409669 0.00023371702302972 0.00673884083069025 1
"hsa-mir-466" 0.666214388074725 3.84780026581325 0.974374249260255 3.94899625963483 7.84795777904468e-05 0.00290935006237442 1
"hsa-mir-486-1" 331.74302268612 1.02344222780848 0.351790770368192 2.90923558550818 0.00362313724028191 0.0391751714105481 1
"hsa-mir-486-2" 330.937938043591 1.02413281758288 0.351168111867211 2.91636052071307 0.00354141026353043 0.0391751714105481 1
"hsa-mir-508" 54.4898691127922 -1.77382549866983 0.457917692554387 -3.87367757898794 0.000107205225076058 0.00347746948840462 -1
"hsa-mir-509-3" 7.64474002843094 -1.34024758122191 0.476237855895464 -2.81423991106684 0.00488927241995512 0.0497555369795433 -1
"hsa-mir-514a-1" 15.67258799151 -1.9493010715337 0.545604733411454 -3.57273489792781 0.000353272351399334 0.00916741751881272 -1
"hsa-mir-514a-2" 15.8181562370154 -1.63546151082192 0.546486665058108 -2.99268329017329 0.00276536557610486 0.0364758513914797 -1
"hsa-mir-514a-3" 15.363084431824 -1.71825104204663 0.551048771593626 -3.11814694201653 0.0018199204292084 0.0309154142141525 -1
"hsa-mir-891a" 70.2126630485581 -3.76968488523844 0.79729077527977 -4.72811802433767 2.26610455271363e-06 0.000196018043809729 -1
"hsa-mir-9-1" 1066.84442684087 -3.03859224314929 0.514000181707009 -5.91165597073924 3.38685348705689e-09 5.0150663287216e-07 -1
"hsa-mir-9-2" 1060.7587106504 -3.02857708440366 0.51420168251272 -5.88986226105696 3.86517636124979e-09 5.0150663287216e-07 -1
"hsa-mir-9-3" 1064.32727007833 -3.06643273496258 0.515442954750541 -5.94912144341296 2.69585567993558e-09 5.0150663287216e-07 -1
