ID	Gene Name	Species	GOTERM_CC_DIRECT
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0070062~extracellular exosome,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens	GO:0005829~cytosol,
HTR3B	5-hydroxytryptamine receptor 3B(HTR3B)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0045211~postsynaptic membrane,GO:1904602~serotonin-activated cation-selective channel complex,
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19(ADAMTS19)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,
ARL14	ADP ribosylation factor like GTPase 14(ARL14)	Homo sapiens	GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0031410~cytoplasmic vesicle,
ART1	ADP-ribosyltransferase 1(ART1)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0031225~anchored component of membrane,GO:0033017~sarcoplasmic reticulum membrane,
ABCA13	ATP binding cassette subfamily A member 13(ABCA13)	Homo sapiens	GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,
ABCA4	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0097381~photoreceptor disc membrane,
ABCG8	ATP binding cassette subfamily G member 8(ABCG8)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0043190~ATP-binding cassette (ABC) transporter complex,GO:0043235~receptor complex,
