ID	Gene Name	Species	GOTERM_BP_DIRECT
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens	GO:0006695~cholesterol biosynthetic process,GO:0008299~isoprenoid biosynthetic process,GO:0046951~ketone body biosynthetic process,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	GO:0006559~L-phenylalanine catabolic process,GO:0006572~tyrosine catabolic process,GO:0055114~oxidation-reduction process,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens	GO:0006195~purine nucleotide catabolic process,GO:0009116~nucleoside metabolic process,GO:0009128~purine nucleoside monophosphate catabolic process,GO:0016311~dephosphorylation,GO:0046085~adenosine metabolic process,GO:0046135~pyrimidine nucleoside catabolic process,
HTR3B	5-hydroxytryptamine receptor 3B(HTR3B)	Homo sapiens	GO:0006811~ion transport,GO:0007271~synaptic transmission, cholinergic,GO:0034220~ion transmembrane transport,GO:0098655~cation transmembrane transport,
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19(ADAMTS19)	Homo sapiens	GO:0006508~proteolysis,
ARL14	ADP ribosylation factor like GTPase 14(ARL14)	Homo sapiens	GO:0007264~small GTPase mediated signal transduction,
ART1	ADP-ribosyltransferase 1(ART1)	Homo sapiens	GO:0006471~protein ADP-ribosylation,
ABCA13	ATP binding cassette subfamily A member 13(ABCA13)	Homo sapiens	GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0055085~transmembrane transport,
ABCA4	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	GO:0001523~retinoid metabolic process,GO:0006649~phospholipid transfer to membrane,GO:0006810~transport,GO:0006869~lipid transport,GO:0007601~visual perception,GO:0007603~phototransduction, visible light,GO:0045332~phospholipid translocation,GO:0045494~photoreceptor cell maintenance,GO:0055085~transmembrane transport,
ABCG8	ATP binding cassette subfamily G member 8(ABCG8)	Homo sapiens	GO:0007584~response to nutrient,GO:0007588~excretion,GO:0010949~negative regulation of intestinal phytosterol absorption,GO:0015914~phospholipid transport,GO:0015918~sterol transport,GO:0030299~intestinal cholesterol absorption,GO:0033344~cholesterol efflux,GO:0042493~response to drug,GO:0042632~cholesterol homeostasis,GO:0045796~negative regulation of intestinal cholesterol absorption,GO:0055085~transmembrane transport,
ATP6V0D2	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens	GO:0007034~vacuolar transport,GO:0007035~vacuolar acidification,GO:0008286~insulin receptor signaling pathway,GO:0015991~ATP hydrolysis coupled proton transport,GO:0016241~regulation of macroautophagy,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0090383~phagosome acidification,
ATP6V1G3	ATPase H+ transporting V1 subunit G3(ATP6V1G3)	Homo sapiens	GO:0008286~insulin receptor signaling pathway,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0090383~phagosome acidification,GO:1902600~hydrogen ion transmembrane transport,
ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A)	Homo sapiens	GO:0006883~cellular sodium ion homeostasis,GO:0006885~regulation of pH,GO:0010107~potassium ion import,GO:0010248~establishment or maintenance of transmembrane electrochemical gradient,GO:0015991~ATP hydrolysis coupled proton transport,GO:0030007~cellular potassium ion homeostasis,GO:0034220~ion transmembrane transport,GO:0036376~sodium ion export from cell,
ATP10B	ATPase phospholipid transporting 10B (putative)(ATP10B)	Homo sapiens	GO:0045332~phospholipid translocation,
BRINP1	BMP/retinoic acid inducible neural specific 1(BRINP1)	Homo sapiens	GO:0001662~behavioral fear response,GO:0007050~cell cycle arrest,GO:0007614~short-term memory,GO:0008219~cell death,GO:0035176~social behavior,GO:0035640~exploration behavior,GO:0042711~maternal behavior,GO:0045666~positive regulation of neuron differentiation,GO:0045786~negative regulation of cell cycle,GO:0045930~negative regulation of mitotic cell cycle,GO:0050768~negative regulation of neurogenesis,GO:0071300~cellular response to retinoic acid,GO:0071625~vocalization behavior,
BRINP3	BMP/retinoic acid inducible neural specific 3(BRINP3)	Homo sapiens	GO:0007050~cell cycle arrest,GO:0045666~positive regulation of neuron differentiation,GO:0045930~negative regulation of mitotic cell cycle,GO:0071300~cellular response to retinoic acid,
CCL11	C-C motif chemokine ligand 11(CCL11)	Homo sapiens	GO:0001938~positive regulation of endothelial cell proliferation,GO:0002544~chronic inflammatory response,GO:0002548~monocyte chemotaxis,GO:0002551~mast cell chemotaxis,GO:0006468~protein phosphorylation,GO:0006874~cellular calcium ion homeostasis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007010~cytoskeleton organization,GO:0007015~actin filament organization,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0008360~regulation of cell shape,GO:0009314~response to radiation,GO:0009615~response to virus,GO:0030335~positive regulation of cell migration,GO:0030593~neutrophil chemotaxis,GO:0030838~positive regulation of actin filament polymerization,GO:0035962~response to interleukin-13,GO:0043547~positive regulation of GTPase activity,GO:0045766~positive regulation of angiogenesis,GO:0048245~eosinophil chemotaxis,GO:0048247~lymphocyte chemotaxis,GO:0050729~positive regulation of inflammatory response,GO:0060444~branching involved in mammary gland duct morphogenesis,GO:0060763~mammary duct terminal end bud growth,GO:0070098~chemokine-mediated signaling pathway,GO:0070371~ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070670~response to interleukin-4,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,
CCL21	C-C motif chemokine ligand 21(CCL21)	Homo sapiens	GO:0001768~establishment of T cell polarity,GO:0001771~immunological synapse formation,GO:0001954~positive regulation of cell-matrix adhesion,GO:0002407~dendritic cell chemotaxis,GO:0002548~monocyte chemotaxis,GO:0002606~positive regulation of dendritic cell antigen processing and presentation,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0010560~positive regulation of glycoprotein biosynthetic process,GO:0030838~positive regulation of actin filament polymerization,GO:0031274~positive regulation of pseudopodium assembly,GO:0031295~T cell costimulation,GO:0031529~ruffle organization,GO:0033630~positive regulation of cell adhesion mediated by integrin,GO:0034695~response to prostaglandin E,GO:0035759~mesangial cell-matrix adhesion,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045860~positive regulation of protein kinase activity,GO:0046330~positive regulation of JNK cascade,GO:0048247~lymphocyte chemotaxis,GO:0048260~positive regulation of receptor-mediated endocytosis,GO:0048469~cell maturation,GO:0050921~positive regulation of chemotaxis,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051491~positive regulation of filopodium assembly,GO:0051897~positive regulation of protein kinase B signaling,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071346~cellular response to interferon-gamma,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0090023~positive regulation of neutrophil chemotaxis,GO:0090630~activation of GTPase activity,GO:0097026~dendritic cell dendrite assembly,GO:1903237~negative regulation of leukocyte tethering or rolling,GO:2000107~negative regulation of leukocyte apoptotic process,GO:2000147~positive regulation of cell motility,GO:2000406~positive regulation of T cell migration,GO:2000529~positive regulation of myeloid dendritic cell chemotaxis,GO:2000548~negative regulation of dendritic cell dendrite assembly,
CRP	C-reactive protein(CRP)	Homo sapiens	GO:0006953~acute-phase response,GO:0006954~inflammatory response,GO:0008228~opsonization,GO:0010628~positive regulation of gene expression,GO:0010745~negative regulation of macrophage derived foam cell differentiation,GO:0010888~negative regulation of lipid storage,GO:0032930~positive regulation of superoxide anion generation,GO:0045908~negative regulation of vasodilation,GO:0050830~defense response to Gram-positive bacterium,GO:2000482~regulation of interleukin-8 secretion,
C2CD4B	C2 calcium dependent domain containing 4B(C2CD4B)	Homo sapiens	GO:0006906~vesicle fusion,GO:0017158~regulation of calcium ion-dependent exocytosis,GO:0048791~calcium ion-regulated exocytosis of neurotransmitter,
CPAMD8	C3 and PZP like, alpha-2-macroglobulin domain containing 8(CPAMD8)	Homo sapiens	GO:0010951~negative regulation of endopeptidase activity,
CASKIN1	CASK interacting protein 1(CASKIN1)	Homo sapiens	GO:0007165~signal transduction,
DAB1	DAB1, reelin adaptor protein(DAB1)	Homo sapiens	GO:0007162~negative regulation of cell adhesion,GO:0007264~small GTPase mediated signal transduction,GO:0007494~midgut development,GO:0007628~adult walking behavior,GO:0016358~dendrite development,GO:0021517~ventral spinal cord development,GO:0021589~cerebellum structural organization,GO:0021813~cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration,GO:0021942~radial glia guided migration of Purkinje cell,GO:0042493~response to drug,GO:0045666~positive regulation of neuron differentiation,GO:0045860~positive regulation of protein kinase activity,GO:0046426~negative regulation of JAK-STAT cascade,GO:0048712~negative regulation of astrocyte differentiation,GO:0050771~negative regulation of axonogenesis,GO:0051645~Golgi localization,GO:0097477~lateral motor column neuron migration,
ELF5	E74 like ETS transcription factor 5(ELF5)	Homo sapiens	GO:0001712~ectodermal cell fate commitment,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0008283~cell proliferation,GO:0030154~cell differentiation,GO:0035019~somatic stem cell population maintenance,GO:0045596~negative regulation of cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060644~mammary gland epithelial cell differentiation,
EPHA5	EPH receptor A5(EPHA5)	Homo sapiens	GO:0007411~axon guidance,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0019933~cAMP-mediated signaling,GO:0021766~hippocampus development,GO:0032793~positive regulation of CREB transcription factor activity,GO:0032956~regulation of actin cytoskeleton organization,GO:0043087~regulation of GTPase activity,GO:0048013~ephrin receptor signaling pathway,GO:0048666~neuron development,GO:0061178~regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0071372~cellular response to follicle-stimulating hormone stimulus,GO:1904322~cellular response to forskolin,
EHF	ETS homologous factor(EHF)	Homo sapiens	GO:0006366~transcription from RNA polymerase II promoter,GO:0007275~multicellular organism development,GO:0008283~cell proliferation,GO:0030855~epithelial cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0050673~epithelial cell proliferation,
ETV4	ETS variant 4(ETV4)	Homo sapiens	GO:0006366~transcription from RNA polymerase II promoter,GO:0008045~motor neuron axon guidance,GO:0030154~cell differentiation,GO:0033600~negative regulation of mammary gland epithelial cell proliferation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048863~stem cell differentiation,GO:0060444~branching involved in mammary gland duct morphogenesis,GO:0060762~regulation of branching involved in mammary gland duct morphogenesis,
EYA4	EYA transcriptional coactivator and phosphatase 4(EYA4)	Homo sapiens	GO:0006281~DNA repair,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,GO:0007601~visual perception,GO:0007605~sensory perception of sound,GO:0009653~anatomical structure morphogenesis,GO:0016576~histone dephosphorylation,GO:0030154~cell differentiation,GO:0035335~peptidyl-tyrosine dephosphorylation,GO:0045739~positive regulation of DNA repair,GO:0048839~inner ear development,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,
FRMPD4	FERM and PDZ domain containing 4(FRMPD4)	Homo sapiens	GO:0051835~positive regulation of synapse structural plasticity,
FRMD7	FERM domain containing 7(FRMD7)	Homo sapiens	GO:0010592~positive regulation of lamellipodium assembly,GO:0010975~regulation of neuron projection development,GO:0032091~negative regulation of protein binding,GO:0051057~positive regulation of small GTPase mediated signal transduction,GO:0051497~negative regulation of stress fiber assembly,
FXYD4	FXYD domain containing ion transport regulator 4(FXYD4)	Homo sapiens	GO:0034220~ion transmembrane transport,GO:0071805~potassium ion transmembrane transport,GO:1903779~regulation of cardiac conduction,GO:2000649~regulation of sodium ion transmembrane transporter activity,
GPR22	G protein-coupled receptor 22(GPR22)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0032870~cellular response to hormone stimulus,GO:1901652~response to peptide,
GC	GC, vitamin D binding protein(GC)	Homo sapiens	GO:0042359~vitamin D metabolic process,GO:0051180~vitamin transport,
GCOM1	GRINL1A complex locus 1(GCOM1)	Homo sapiens	GO:0035556~intracellular signal transduction,
HMX2	H6 family homeobox 2(HMX2)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007420~brain development,GO:0008284~positive regulation of cell proliferation,GO:0030154~cell differentiation,GO:0042472~inner ear morphogenesis,GO:0048026~positive regulation of mRNA splicing, via spliceosome,
