	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCA13	47.65328184	-1.948331421	0.359408001	-5.420946156	5.92844E-08	6.0298E-06
ABCA4	183.1356886	-1.6732272	0.309733214	-5.402156185	6.58446E-08	6.63587E-06
ABCG8	9.95581658	-1.704560626	0.401719376	-4.243162584	2.20392E-05	0.001105515
ACOT12	22.2811126	-2.259003656	0.445136479	-5.074856279	3.87789E-07	3.242E-05
ACPP	449.6885367	-3.286982844	0.348458575	-9.432922811	3.98818E-21	3.66763E-18
ADAMTS19	14.87375061	-2.174480065	0.569137073	-3.820661435	0.000133094	0.004753274
ADGRA1	9.415308592	-3.336063077	0.538856114	-6.191009053	5.97803E-10	8.5676E-08
ADGRF2	44.62733451	-1.996490225	0.381868448	-5.228214678	1.71155E-07	1.53559E-05
ADGRF3	98.58434098	-1.163305068	0.25199936	-4.61630168	3.90639E-06	0.000253322
ADH1B	1676.110096	-1.187266228	0.319746942	-3.713143344	0.000204701	0.006644048
ADH1C	242.3096256	-2.336261422	0.402960113	-5.797748571	6.72111E-09	7.84876E-07
ADH4	17.28107152	-2.006383592	0.423967109	-4.73240388	2.21876E-06	0.000154969
AFM	197.8522289	-3.084255938	0.405115428	-7.613276925	2.67232E-14	9.07398E-12
AGXT	179.2199035	-1.314339694	0.311731856	-4.216250814	2.48397E-05	0.001215606
AHSG	14.00348452	-1.992185959	0.473759298	-4.205059335	2.61014E-05	0.001266206
AIF1L	15305.14551	-1.100547873	0.26709561	-4.120426664	3.78171E-05	0.00167267
AKR1D1	9.090790421	-1.624436757	0.389780449	-4.167568593	3.07866E-05	0.001417488
ALB	1837.972494	-4.090268431	0.403928186	-10.12622683	4.22645E-24	5.83012E-21
ALDH3B2	25.25284098	-1.723150891	0.437529244	-3.938367357	8.20379E-05	0.003250734
ALDOB	29981.08226	-3.545539492	0.432640406	-8.19511873	2.50346E-16	1.15112E-13
AMELX	1.796610608	-2.377085067	0.575321558	-4.131750379	3.60011E-05	0.001601978
AMPH	111.5090998	-1.611092464	0.268753676	-5.994680663	2.03886E-09	2.63156E-07
ANKRD1	59.81058226	-1.041604843	0.226409015	-4.600544917	4.21387E-06	0.000268024
ANKRD34B	21.73884118	-2.763459997	0.403820076	-6.843295219	7.73919E-12	1.58159E-09
ANKRD34C	4.136620065	-1.511813026	0.365440471	-4.136961138	3.51936E-05	0.001572383
APCDD1L-DT	105.9695386	-1.174095905	0.321201231	-3.655328166	0.000256853	0.007894989
APCS	32.41769068	-2.705164972	0.624443458	-4.332121566	1.47679E-05	0.000791124
APELA	25.23705789	-1.847284781	0.463514532	-3.985386975	6.73702E-05	0.002738358
APOA2	15.32363805	-1.615108953	0.433564316	-3.725188842	0.000195169	0.006391063
AQP2	23410.85296	-7.999907081	0.685216507	-11.67500637	1.71053E-31	1.25844E-27
AQP5	23.88167506	-2.043480731	0.410080342	-4.983122873	6.25662E-07	4.8795E-05
AQP6	990.4870933	-3.609272903	0.512225915	-7.046252051	1.83801E-12	4.2257E-10
ARL14	14.98025571	-1.930491438	0.438562558	-4.401861036	1.07326E-05	0.00060649
ARMC4	23.64885759	-1.087833353	0.296903464	-3.663929475	0.000248375	0.007666978
ARMH4	680.7810366	-1.216946949	0.263642116	-4.615904952	3.91386E-06	0.000253322
ARSI	60.76206898	-1.039907056	0.286715196	-3.626968751	0.000286768	0.008518514
ART1	8.099077341	-1.197895091	0.318728454	-3.758356294	0.000171033	0.005843459
ASB15	53.26093276	-3.372302136	0.484125717	-6.965757071	3.26642E-12	7.28143E-10
ASB5	31.04582048	-1.63081465	0.434866367	-3.75015125	0.000176728	0.005955057
ASTN1	23.26585896	-1.205564732	0.29944402	-4.026010382	5.67312E-05	0.002380445
ATP10B	30.27873348	-1.260208481	0.28497217	-4.422215964	9.76937E-06	0.000558601
ATP12A	139.2397743	-4.741497775	0.569900344	-8.319871747	8.80585E-17	4.62748E-14
ATP6V0D2	2226.110565	-3.835084875	0.4596365	-8.3437344	7.19806E-17	3.87484E-14
ATP6V1G3	256.7806767	-4.524157466	0.859961456	-5.260883998	1.43364E-07	1.31294E-05
AVPR2	202.1698411	-1.370320712	0.290938867	-4.709995354	2.47722E-06	0.000168622
B4GALNT2	640.2206385	-1.56751226	0.382773263	-4.095145645	4.21903E-05	0.001843925
BCHE	144.604076	-1.475261379	0.315729777	-4.672544335	2.97491E-06	0.000200181
BMP7	207.4943854	-2.277188491	0.431180179	-5.281292141	1.28276E-07	1.18957E-05
BMPR1B	640.9531851	-1.577758436	0.387642502	-4.070137889	4.69853E-05	0.00202938
BRINP1	226.1510449	-1.202262712	0.277139108	-4.33812001	1.43707E-05	0.000773598
BRINP3	30.05557464	-5.250107211	0.634937947	-8.268693394	1.35435E-16	6.6844E-14
C10orf71	9.213483091	-2.651566021	0.634454256	-4.179286366	2.92425E-05	0.001370301
C10orf82	20.80824642	-1.756648811	0.3270576	-5.371068621	7.82714E-08	7.74676E-06
C13orf42	4.238793213	-2.327303667	0.571187422	-4.074500906	4.61131E-05	0.001995614
