ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens				GO:0006559~L-phenylalanine catabolic process,GO:0006572~tyrosine catabolic process,GO:0055114~oxidation-reduction process,	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0046872~metal ion binding,	IPR004360:Glyoxalase/fosfomycin resistance/dioxygenase domain,IPR005956:4-hydroxyphenylpyruvate dioxygenase,	hsa00130:Ubiquinone and other terpenoid-quinone biosynthesis,hsa00350:Tyrosine metabolism,hsa00360:Phenylalanine metabolism,hsa01100:Metabolic pathways,	140350~Hawkinsinuria,276710~Tyrosinemia, type III,	PIRSF009283:4-hydroxyphenylpyruvate dioxygenase,		3D-structure,Acetylation,Alternative splicing,Coiled coil,Complete proteome,Dioxygenase,Disease mutation,Iron,Mental retardation,Metal-binding,Oxidoreductase,Phenylalanine catabolism,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Tyrosine catabolism,	chain:4-hydroxyphenylpyruvate dioxygenase,helix,metal ion-binding site:Iron,modified residue,sequence conflict,sequence variant,strand,turn,
ADAM7	ADAM metallopeptidase domain 7(ADAM7)	Homo sapiens				GO:0006508~proteolysis,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004222~metalloendopeptidase activity,	IPR001590:Peptidase M12B, ADAM/reprolysin,IPR001762:Blood coagulation inhibitor, Disintegrin,IPR002870:Peptidase M12B, propeptide,IPR006586:ADAM, cysteine-rich,IPR018358:Disintegrin, conserved site,IPR024079:Metallopeptidase, catalytic domain,				SM00050:DISIN,SM00608:ACR,	Alternative splicing,Complete proteome,Disulfide bond,Glycoprotein,Membrane,Polymorphism,Proteomics identification,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:Disintegrin and metalloproteinase domain- containing protein 7,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:Peptidase M12B,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ALX1	ALX homeobox 1(ALX1)	Homo sapiens			Transcription,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001502~cartilage condensation,GO:0001755~neural crest cell migration,GO:0001843~neural tube closure,GO:0006366~transcription from RNA polymerase II promoter,GO:0007275~multicellular organism development,GO:0009952~anterior/posterior pattern specification,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0030326~embryonic limb morphogenesis,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048704~embryonic skeletal system morphogenesis,GO:0060021~palate development,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005794~Golgi apparatus,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0043565~sequence-specific DNA binding,GO:0046982~protein heterodimerization activity,	IPR001356:Homeodomain,IPR003654:OAR domain,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,		613456~Frontonasal dysplasia 3,		SM00389:HOX,	Acetylation,Activator,Complete proteome,Developmental protein,DNA-binding,Homeobox,Nucleus,Phosphoprotein,Reference proteome,Repressor,Transcription,Transcription regulation,	chain:ALX homeobox protein 1,DNA-binding region:Homeobox,modified residue,sequence conflict,short sequence motif:OAR,
ABCA13	ATP binding cassette subfamily A member 13(ABCA13)	Homo sapiens				GO:0033344~cholesterol efflux,GO:0033700~phospholipid efflux,GO:0055085~transmembrane transport,	GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005215~transporter activity,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0042626~ATPase activity, coupled to transmembrane movement of substances,	IPR003439:ABC transporter-like,IPR003593:AAA+ ATPase domain,IPR026082:ABC transporter A, ABCA,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa02010:ABC transporters,			SM00382:AAA,	Alternative splicing,ATP-binding,Complete proteome,Membrane,Nucleotide-binding,Polymorphism,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:ATP-binding cassette sub-family A member 13,domain:ABC transporter 1,domain:ABC transporter 2,nucleotide phosphate-binding region:ATP 1,nucleotide phosphate-binding region:ATP 2,sequence conflict,sequence variant,splice variant,transmembrane region,
ATP6V0A4	ATPase H+ transporting V0 subunit a4(ATP6V0A4)	Homo sapiens				GO:0001503~ossification,GO:0006885~regulation of pH,GO:0007035~vacuolar acidification,GO:0007588~excretion,GO:0007605~sensory perception of sound,GO:0008286~insulin receptor signaling pathway,GO:0015986~ATP synthesis coupled proton transport,GO:0015991~ATP hydrolysis coupled proton transport,GO:0015992~proton transport,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0070072~vacuolar proton-transporting V-type ATPase complex assembly,GO:0090383~phagosome acidification,	GO:0000220~vacuolar proton-transporting V-type ATPase, V0 domain,GO:0005765~lysosomal membrane,GO:0005768~endosome,GO:0005886~plasma membrane,GO:0005903~brush border,GO:0010008~endosome membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0016471~vacuolar proton-transporting V-type ATPase complex,GO:0030670~phagocytic vesicle membrane,GO:0031526~brush border membrane,GO:0045177~apical part of cell,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,GO:0051117~ATPase binding,	IPR002490:ATPase, V0 complex, subunit 116kDa,IPR026028:ATPase, V0 complex, subunit 116kDa, eukaryotic,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04142:Lysosome,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05152:Tuberculosis,hsa05323:Rheumatoid arthritis,	602722~Renal tubular acidosis, distal, autosomal recessive,	PIRSF001293:V-type proton ATPase 116 kda subunit a isoform 1,		Cell membrane,Coiled coil,Complete proteome,Disease mutation,Hydrogen ion transport,Ion transport,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:V-type proton ATPase 116 kDa subunit a isoform 4,sequence variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
ATP6V0D2	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens				GO:0007034~vacuolar transport,GO:0007035~vacuolar acidification,GO:0008286~insulin receptor signaling pathway,GO:0015991~ATP hydrolysis coupled proton transport,GO:0016241~regulation of macroautophagy,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0090383~phagosome acidification,	GO:0005765~lysosomal membrane,GO:0005769~early endosome,GO:0010008~endosome membrane,GO:0016020~membrane,GO:0016324~apical plasma membrane,GO:0016471~vacuolar proton-transporting V-type ATPase complex,GO:0030670~phagocytic vesicle membrane,GO:0033179~proton-transporting V-type ATPase, V0 domain,GO:0033181~plasma membrane proton-transporting V-type ATPase complex,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,	IPR002843:ATPase, V0 complex,  c/d subunit,IPR016727:ATPase, V0 complex, subunit d,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04142:Lysosome,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05152:Tuberculosis,hsa05203:Viral carcinogenesis,hsa05323:Rheumatoid arthritis,		PIRSF018497:V-type ATPase, subunit d,		Complete proteome,Hydrogen ion transport,Ion transport,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:V-type proton ATPase subunit d 2,sequence variant,
ATP6V1B1	ATPase H+ transporting V1 subunit B1(ATP6V1B1)	Homo sapiens				GO:0001503~ossification,GO:0006885~regulation of pH,GO:0007588~excretion,GO:0007605~sensory perception of sound,GO:0008286~insulin receptor signaling pathway,GO:0015991~ATP hydrolysis coupled proton transport,GO:0015992~proton transport,GO:0016241~regulation of macroautophagy,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0042472~inner ear morphogenesis,GO:0045851~pH reduction,GO:0046034~ATP metabolic process,GO:0055074~calcium ion homeostasis,GO:0090383~phagosome acidification,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005902~microvillus,GO:0012505~endomembrane system,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0016471~vacuolar proton-transporting V-type ATPase complex,GO:0033180~proton-transporting V-type ATPase, V1 domain,GO:0070062~extracellular exosome,	GO:0005524~ATP binding,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances,GO:0032403~protein complex binding,	IPR000194:ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain,IPR004100:ATPase, alpha/beta subunit, N-terminal,IPR005723:ATPase, V1 complex, subunit B,IPR020003:ATPase, alpha/beta subunit, nucleotide-binding domain, active site,IPR022879:V-type ATP synthase regulatory subunit B/beta,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05323:Rheumatoid arthritis,	267300~Renal tubular acidosis with deafness,			Complete proteome,Deafness,Disease mutation,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:V-type proton ATPase subunit B, kidney isoform,mutagenesis site,sequence conflict,sequence variant,short sequence motif:PDZ-binding,
ATP6V1C2	ATPase H+ transporting V1 subunit C2(ATP6V1C2)	Homo sapiens				GO:0008286~insulin receptor signaling pathway,GO:0015991~ATP hydrolysis coupled proton transport,GO:0016241~regulation of macroautophagy,GO:0030177~positive regulation of Wnt signaling pathway,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0090383~phagosome acidification,	GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain,GO:0005765~lysosomal membrane,GO:0005829~cytosol,GO:0033180~proton-transporting V-type ATPase, V1 domain,GO:0070062~extracellular exosome,	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,GO:0046983~protein dimerization activity,	IPR004907:ATPase, V1 complex, subunit C,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05323:Rheumatoid arthritis,				Alternative splicing,Coiled coil,Complete proteome,Hydrogen ion transport,Ion transport,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:V-type proton ATPase subunit C 2,sequence variant,splice variant,
BARX1	BARX homeobox 1(BARX1)	Homo sapiens				GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007267~cell-cell signaling,GO:0007399~nervous system development,GO:0009888~tissue development,GO:0009952~anterior/posterior pattern specification,GO:0030178~negative regulation of Wnt signaling pathway,GO:0030855~epithelial cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048513~animal organ development,GO:0048536~spleen development,GO:0055123~digestive system development,	GO:0005634~nucleus,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,	IPR000047:Helix-turn-helix motif,IPR001356:Homeodomain,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,IPR020479:Homeodomain, metazoa,				SM00389:HOX,	3D-structure,Alternative splicing,Complete proteome,DNA-binding,Homeobox,Nucleus,Polymorphism,Reference proteome,Transcription,Transcription regulation,	chain:Homeobox protein BarH-like 1,compositionally biased region:Poly-Ala,DNA-binding region:Homeobox,helix,sequence conflict,sequence variant,splice variant,
BRINP3	BMP/retinoic acid inducible neural specific 3(BRINP3)	Homo sapiens				GO:0007050~cell cycle arrest,GO:0045666~positive regulation of neuron differentiation,GO:0045930~negative regulation of mitotic cell cycle,GO:0071300~cellular response to retinoic acid,	GO:0005576~extracellular region,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0030425~dendrite,GO:0043025~neuronal cell body,		IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR020864:Membrane attack complex component/perforin (MACPF) domain,				SM00457:MACPF,	Alternative splicing,Cell cycle,Complete proteome,Glycoprotein,Growth arrest,Mitochondrion,Reference proteome,Secreted,Signal,	chain:Protein FAM5C,glycosylation site:N-linked (GlcNAc...),sequence conflict,signal peptide,
