ID	Gene Name	Species	KEGG_PATHWAY
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa00900:Terpenoid backbone biosynthesis,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	hsa00130:Ubiquinone and other terpenoid-quinone biosynthesis,hsa00350:Tyrosine metabolism,hsa00360:Phenylalanine metabolism,hsa01100:Metabolic pathways,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
HTR3B	5-hydroxytryptamine receptor 3B(HTR3B)	Homo sapiens	hsa04726:Serotonergic synapse,
ABCA13	ATP binding cassette subfamily A member 13(ABCA13)	Homo sapiens	hsa02010:ABC transporters,
ABCA4	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens	hsa02010:ABC transporters,
ABCG8	ATP binding cassette subfamily G member 8(ABCG8)	Homo sapiens	hsa02010:ABC transporters,hsa04975:Fat digestion and absorption,hsa04976:Bile secretion,
ATP6V0D2	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04142:Lysosome,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05152:Tuberculosis,hsa05203:Viral carcinogenesis,hsa05323:Rheumatoid arthritis,
ATP6V1G3	ATPase H+ transporting V1 subunit G3(ATP6V1G3)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05323:Rheumatoid arthritis,
ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit(ATP12A)	Homo sapiens	hsa00190:Oxidative phosphorylation,
CCL11	C-C motif chemokine ligand 11(CCL11)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa05310:Asthma,
CCL21	C-C motif chemokine ligand 21(CCL21)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,
ELF5	E74 like ETS transcription factor 5(ELF5)	Homo sapiens	hsa04917:Prolactin signaling pathway,
EPHA5	EPH receptor A5(EPHA5)	Homo sapiens	hsa04360:Axon guidance,
ETV4	ETS variant 4(ETV4)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
FXYD4	FXYD domain containing ion transport regulator 4(FXYD4)	Homo sapiens	hsa04960:Aldosterone-regulated sodium reabsorption,
KIT	KIT proto-oncogene receptor tyrosine kinase(KIT)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04916:Melanogenesis,hsa05200:Pathways in cancer,hsa05221:Acute myeloid leukemia,hsa05230:Central carbon metabolism in cancer,
L1CAM	L1 cell adhesion molecule(L1CAM)	Homo sapiens	hsa04360:Axon guidance,hsa04514:Cell adhesion molecules (CAMs),
MAFA	MAF bZIP transcription factor A(MAFA)	Homo sapiens	hsa04930:Type II diabetes mellitus,hsa04950:Maturity onset diabetes of the young,
NAT8L	N-acetyltransferase 8 like(NAT8L)	Homo sapiens	hsa00250:Alanine, aspartate and glutamate metabolism,hsa01100:Metabolic pathways,
NDST3	N-deacetylase and N-sulfotransferase 3(NDST3)	Homo sapiens	hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate / heparin,hsa01100:Metabolic pathways,
ST6GALNAC5	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5(ST6GALNAC5)	Homo sapiens	hsa00604:Glycosphingolipid biosynthesis - ganglio series,hsa01100:Metabolic pathways,
ST8SIA5	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5(ST8SIA5)	Homo sapiens	hsa00604:Glycosphingolipid biosynthesis - ganglio series,hsa01100:Metabolic pathways,
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus(UGT2A1)	Homo sapiens	hsa00040:Pentose and glucuronate interconversions,hsa00053:Ascorbate and aldarate metabolism,hsa00140:Steroid hormone biosynthesis,hsa00830:Retinol metabolism,hsa00860:Porphyrin and chlorophyll metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,hsa05204:Chemical carcinogenesis,
VTCN1	V-set domain containing T cell activation inhibitor 1(VTCN1)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),
